task,level,cluster_id,universal_task_id
Design field experiments with controlled traffic signal timing to measure intersection performance.,subfield,U07.12,U07
"Design field experiments with replicated plots, paired sites, or before-after-control-impact frameworks to test ecological hypotheses.",subfield,U07.12,U07
"Design field experiments with replicated plots, transects, or enclosures to test ecological hypotheses.",subfield,U07.12,U07
"Design field or greenhouse experiments with replicated plots, appropriate controls, and randomized block arrangements to evaluate crop treatments.",subfield,U07.12,U07
"Design field plot experiments with appropriate soil sampling depths, replication, and spatial controls.",subfield,U07.12,U07
Design field sampling campaigns to capture spatial and temporal variability in water quality or hydrological conditions.,subfield,U07.12,U07
"Design field sampling protocols to assess biodiversity, soil health, or water quality across heterogeneous landscapes.",subfield,U07.12,U07
"Design field sampling schemes stratified by soil type, topography, and land use.",subfield,U07.12,U07
"Design field sampling schemes with stratification by habitat type, season, or environmental gradient.",subfield,U07.12,U07
"Design field sampling strategies accounting for tidal cycles, seasonal variation, and habitat heterogeneity.",subfield,U07.12,U07
Design field trials with replicated plots to evaluate pest control treatments under natural conditions.,subfield,U07.12,U07
"Design field trials with replicated plots, randomized block designs, and appropriate check varieties to evaluate crop performance.",subfield,U07.12,U07
Design field-normalized indicators that account for disciplinary differences in citation rates and publication volume.,subfield,U30.01,U30
"Design firm-level surveys to measure export behavior, import sourcing decisions, or responses to trade policy changes.",subfield,U07.03,U07
Design focus group guides for parents or caregivers to understand perspectives on early learning programs and school readiness.,subfield,U07.05,U07
Design focus group guides to examine barriers and facilitators to health-promoting behaviors in community settings.,subfield,U07.05,U07
Design focus group guides to examine collective sense-making and social dynamics around media consumption.,subfield,U07.05,U07
Design focus group guides to explore collective political experiences across different national or ethnic communities.,subfield,U07.05,U07
"Design focus group guides to explore community perceptions of crime, safety, or informal social control.",subfield,U07.05,U07
"Design focus group guides to explore shared cultural understandings, collective memories, or group interpretations of symbols.",subfield,U07.05,U07
Design focus group guides to explore student or teacher experiences with assessment practices.,subfield,U07.05,U07
Design focus group guides to gather teacher or parent perspectives on educational programs or interventions.,subfield,U07.05,U07
Design focus group protocols to explore civilian experiences and perceptions in conflict-affected communities.,subfield,U07.05,U07
"Design focus group protocols to explore community experiences with discrimination, displacement, or access to remedies.",subfield,U07.05,U07
Design focus group protocols to explore community perspectives on immigration enforcement and legal compliance.,subfield,U07.05,U07
"Design focus group protocols to explore consumer motivations, brand associations, or reactions to marketing stimuli.",subfield,U07.05,U07
Design focus group protocols to explore how citizens perceive economic inequality and government economic performance.,subfield,U07.05,U07
Design focus group protocols to explore how communities interpret and negotiate religious boundaries and shared practices.,subfield,U07.05,U07
Design follow-up and assessment schedules specifying testing intervals and modalities for cancer patients.,subfield,U07.02,U07
Design follow-up studies that retest an effect with new content or added control conditions to rule out alternative explanations.,subfield,U07.01,U07
Design formulation stability studies following regulatory guidelines for pharmaceutical development.,subfield,U07.08,U07
Design genetic association studies with appropriate case-control or family-based sampling strategies.,subfield,U07.02,U07
"Design greenhouse or growth chamber experiments with controlled light, temperature, and humidity conditions.",subfield,U07.11,U07
"Design guest satisfaction surveys measuring service quality dimensions, perceived value, and behavioral intentions.",subfield,U07.03,U07
Design guidance and motion-planning algorithms that generate reference trajectories and waypoints for control systems.,subfield,U30.01,U30
Design harmonized model experiment protocols to enable consistent intercomparison of simulations,subfield,U09.09,U09
"Design health-services studies to evaluate the access, quality, safety, or efficiency of care delivery.",subfield,U07.02,U07
Design heat treatment protocols to achieve target microstructures and mechanical properties.,subfield,U07.11,U07
Design heat treatment schedules to achieve target microstructures and mechanical properties.,subfield,U07.11,U07
"Design herd health studies with appropriate randomization or matching at the pen, paddock, or farm level.",subfield,U07.12,U07
Design hierarchical control architectures that decompose robot control into high-level command generation and low-level execution.,subfield,U30.01,U30
Design high-pressure and high-temperature experiments to simulate mantle or crustal conditions.,subfield,U07.11,U07
"Design household survey modules to measure consumption, income, assets, and economic well-being in low-income populations.",subfield,U07.03,U07
Design idealized model systems with tailored conditions to isolate specific mechanisms in targeted numerical studies,subfield,U09.09,U09
"Design imaging experiments with appropriate controls for autofluorescence, photobleaching, and background signal.",subfield,U07.11,U07
"Design immunization protocols with appropriate adjuvants, dosing schedules, and control groups to evaluate immune responses.",subfield,U07.11,U07
Design in vitro experiments using cancer cell lines with appropriate controls to test drug efficacy or pathway function.,subfield,U07.11,U07
Design in vitro experiments using primary neuronal cultures or neural cell lines to test mechanistic hypotheses.,subfield,U07.11,U07
"Design in vitro experiments with controlled physiological conditions including temperature, pH, oxygen levels, and sterility.",subfield,U07.11,U07
Design in vivo bioassays that use functional physiological endpoints to evaluate compound effects.,subfield,U07.08,U07
"Design incentive-compatible elicitation mechanisms to measure risk preferences, time preferences, or social preferences.",subfield,U07.04,U07
Design index or dictionary structures tuned to data distributions and hardware characteristics to reduce storage and lookup cost.,subfield,U30.01,U30
"Design infant looking-time or eye-tracking paradigms to assess attention, discrimination, or preference in preverbal participants.",subfield,U07.04,U07
"Design infection experiments with appropriate multiplicity of infection, time points, and uninfected controls.",subfield,U07.11,U07
Design informed consent processes that address therapeutic misconception and ensure participant comprehension of research risks.,subfield,U19.02,U19
Design informed consent processes that protect participant identity when studying stigmatized gender or sexual identities.,subfield,U19.02,U19
"Design inoculation experiments with appropriate pathogen doses, application methods, and uninoculated controls.",subfield,U07.11,U07
Design instructional content and training activities delivered through an interactive technology.,subfield,U08.01,U08
"Design instruments to elicit farmers' subjective perceptions, well-being, or probability beliefs.",subfield,U07.03,U07
"Design instruments to measure aesthetic preferences, emotional responses, or judgments of artistic quality.",subfield,U07.07,U07
"Design instruments to measure clinical competence, professional identity formation, or readiness for practice.",subfield,U07.07,U07
Design integrated process configurations linking multiple unit operations to improve energy recovery and utility use.,subfield,U30.01,U30
Design interaction techniques and command vocabularies that map user input modalities to system actions.,subfield,U30.01,U30
"Design interview guides for collecting narrative accounts from victims of stalking, harassment, or sexual offenses.",subfield,U07.05,U07
"Design interview protocols for collecting data from policymakers, legislators, or public administrators.",subfield,U07.05,U07
Design interview protocols incorporating walking interviews or go-along methods to elicit place-based narratives.,subfield,U07.05,U07
"Design interview protocols sensitive to monastic hierarchies, ritual contexts, and religious observances in Buddhist communities.",subfield,U07.05,U07
"Design interview protocols that account for cultural differences in self-disclosure, directness, and power distance between researcher and participant.",subfield,U07.05,U07
"Design interview protocols that address sensitive topics related to religious practice, identity, and community dynamics.",subfield,U07.05,U07
Design interview protocols that allow participants to narrate their racial or ethnic identity formation and lived experiences.,subfield,U07.05,U07
Design interview protocols that create safe spaces for participants to discuss sensitive topics related to gender identity or sexual experiences.,subfield,U07.05,U07
"Design interview protocols to capture activist narratives, recruitment pathways, and biographical consequences of participation.",subfield,U07.05,U07
"Design interview protocols to capture founder narratives, venture development processes, or innovation decision-making.",subfield,U07.05,U07
Design interview protocols to capture stakeholder perspectives on policy implementation and administrative decision-making.,subfield,U07.05,U07
Design interview protocols to capture stakeholder perspectives on urban planning decisions and community engagement processes.,subfield,U07.05,U07
Design interview protocols to capture the lived experiences of students with disabilities in educational settings.,subfield,U07.05,U07
"Design interview protocols to collect narratives from offenders, victims, or criminal justice practitioners about their experiences.",subfield,U07.05,U07
Design interview protocols to collect oral histories or personal narratives related to literary reception and cultural memory.,subfield,U07.05,U07
"Design interview protocols to collect oral histories or testimonies from authors, translators, or literary community members for qualitative research.",subfield,U07.05,U07
"Design interview protocols to collect perspectives from legal practitioners, judges, or policymakers across multiple jurisdictions.",subfield,U07.05,U07
"Design interview protocols to document artists' creative processes, workflows, and conceptual approaches to technology-based work.",subfield,U07.05,U07
"Design interview protocols to document designer intentions, creative processes, and professional practices.",subfield,U07.05,U07
Design interview protocols to document occupants' and residents' lived experience of buildings and neighborhoods.,subfield,U07.05,U07
"Design interview protocols to document the creative processes, rehearsal methods, and artistic choices of theater practitioners.",subfield,U07.05,U07
Design interview protocols to elicit detailed phenomenological descriptions of mental states or experiences.,subfield,U07.05,U07
Design interview protocols to elicit first-person accounts of lived experience for phenomenological analysis.,subfield,U07.05,U07
"Design interview protocols to elicit migration narratives, including pre-migration experiences and settlement processes.",subfield,U07.05,U07
"Design interview protocols to elicit musicians' perspectives on performance practice, creative processes, or professional experiences.",subfield,U07.05,U07
"Design interview protocols to elicit narratives about career trajectories, workplace experiences, and economic decision-making.",subfield,U07.05,U07
"Design interview protocols to elicit narratives about educational trajectories, career pathways, or experiences of disadvantage.",subfield,U07.05,U07
"Design interview protocols to elicit narratives from business owners, policymakers, or workers about regional economic change and development strategies.",subfield,U07.05,U07
Design interview protocols to elicit patient preferences and willingness-to-pay for health interventions.,subfield,U07.05,U07
Design interview protocols to elicit philosophical intuitions or beliefs from non-specialist participants for experimental philosophy studies.,subfield,U07.05,U07
"Design interview protocols to elicit reader responses, interpretive practices, or personal narrative accounts.",subfield,U07.05,U07
"Design interview protocols to elicit reflective judgments on political values, democratic practices, or conceptions of citizenship.",subfield,U07.05,U07
"Design interview protocols to elicit translators' accounts of their strategies, challenges, and professional experiences.",subfield,U07.05,U07
Design interview protocols to explore decision-making processes of executives managing cross-border operations.,subfield,U07.05,U07
Design interview protocols to explore decision-making processes of supply chain managers and procurement professionals.,subfield,U07.05,U07
"Design interview protocols to explore employee experiences with HR policies, leadership, or organizational change.",subfield,U07.05,U07
Design interview protocols to explore how individuals interpret and discuss political media content.,subfield,U07.05,U07
Design interview protocols to explore how school leaders navigate policy mandates and local community expectations.,subfield,U07.05,U07
"Design interview protocols to explore journalists' professional practices, ethical reasoning, or newsroom routines.",subfield,U07.05,U07
"Design interview protocols to explore learners' literacy histories, reading experiences, or language ideologies.",subfield,U07.05,U07
Design interview protocols to explore litigants' experiences navigating family court systems.,subfield,U07.05,U07
Design interview protocols to explore lived experiences of political marginalization or representation.,subfield,U07.05,U07
"Design interview protocols to explore lived experiences of urban residents regarding housing, displacement, or neighborhood change.",subfield,U07.05,U07
"Design interview protocols to explore patient experiences with chronic illness, disability, or healthcare encounters.",subfield,U07.05,U07
Design interview protocols to explore patient-provider communication experiences and health decision-making processes.,subfield,U07.05,U07
"Design interview protocols to explore personal religious narratives, conversion experiences, and faith development.",subfield,U07.05,U07
Design interview protocols to explore student and instructor experiences with online or blended learning formats.,subfield,U07.05,U07
Design interview protocols to explore student experiences with learning challenges or educational transitions.,subfield,U07.05,U07
Design interview protocols to explore student reasoning processes and problem-solving strategies in STEM content areas.,subfield,U07.05,U07
"Design interview protocols to explore student transitions, persistence decisions, or career development experiences.",subfield,U07.05,U07
Design interview protocols to explore subjective experiences of family caregiving and intergenerational support.,subfield,U07.05,U07
Design interview protocols to explore teachers' experiences implementing new curricula or instructional strategies.,subfield,U07.05,U07
"Design interview protocols to explore tourist experiences, meanings, and emotional connections to places.",subfield,U07.05,U07
"Design interview protocols to explore tourist experiences, travel decision-making processes, and memorable tourism encounters.",subfield,U07.05,U07
Design interview protocols to explore trainee experiences with clinical learning environments or professional socialization.,subfield,U07.05,U07
Design interview protocols to explore user experiences with information systems and digital platforms.,subfield,U07.05,U07
"Design interview protocols to explore user experiences with information systems, digital collections, or library services.",subfield,U07.05,U07
"Design interview protocols to explore user motivations, experiences, and meaning-making in digital spaces.",subfield,U07.05,U07
Design interview protocols to explore voter decision-making processes and political socialization experiences.,subfield,U07.05,U07
Design interview protocols to gather oral histories or reader responses related to American literary works and their cultural reception.,subfield,U07.05,U07
Design interview protocols to gather oral histories or testimonies from communities represented in postcolonial literary works.,subfield,U07.05,U07
Design interview protocols to gather perspectives from religious communities on biblical interpretation and practice.,subfield,U07.05,U07
"Design interview protocols to gather poets' perspectives on their creative processes, influences, or compositional choices.",subfield,U07.05,U07
Design interview protocols to gather reader responses or author perspectives for reception studies or biographical research.,subfield,U07.05,U07
"Design kinetics experiments with controlled temperature, pressure, and concentration conditions.",subfield,U07.11,U07
"Design laboratory tests for concrete, steel, or composite material specimens under controlled loading conditions.",subfield,U07.11,U07
Design language attitude surveys using matched-guise or verbal-guise techniques to measure perceptions of speakers and varieties.,subfield,U07.04,U07
Design language proficiency assessments or vocabulary tests to characterize participant linguistic backgrounds.,subfield,U07.04,U07
Design level-of-detail simplification schemes with error metrics that bound the visual deviation of reduced geometry.,subfield,U30.01,U30
"Design location-based survey instruments that capture respondents' spatial behaviors, travel patterns, or place-based experiences.",subfield,U07.03,U07
Design long-term forest monitoring plots with appropriate spatial replication and stratification by stand type.,subfield,U07.12,U07
Design longitudinal cohort studies to monitor animal morbidity and mortality across production cycles.,subfield,U07.02,U07
Design longitudinal data collection that follows the same migrants over time and across locations.,subfield,U07.01,U07
Design longitudinal studies that track pediatric outcomes across developmental stages from infancy through adolescence.,subfield,U07.02,U07
Design longitudinal studies tracking neurodevelopmental trajectories from infancy through childhood or adolescence.,subfield,U07.02,U07
Design low-temperature experiments using cryostats or dilution refrigerators to access quantum ground states.,subfield,U07.11,U07
Design magnetic field coil arrangements for atom trapping or Zeeman state manipulation.,subfield,U07.10,U07
"Design magnetometry experiments with controlled temperature, field orientation, and sample geometry.",subfield,U07.11,U07
Design mark-recapture studies to estimate population abundance and movement patterns of marine species.,subfield,U07.12,U07
Design masked or removable reagent strategies that carry functionality or chirality for later release in synthesis.,subfield,U30.03,U30
Design material compositions by proportioning constituents to achieve target properties,subfield,U30.03,U30
Design measurement batteries with multiple indicators per construct to enable latent variable modeling.,subfield,U07.07,U07
Design measurement protocols that capture uncertainty and variability needed for probabilistic modeling.,subfield,U07.01,U07
Design mechanical testing protocols with controlled loading rates and environmental conditions.,subfield,U07.11,U07
Design mechanical testing protocols with controlled temperature and humidity conditions to evaluate composite performance.,subfield,U07.11,U07
"Design method validation experiments to establish selectivity, linearity, accuracy, and precision for quantitative analyses.",subfield,U07.08,U07
Design mixed-mode survey instruments that maintain measurement equivalence across administration methods.,subfield,U07.03,U07
Design multi-criteria decision analysis frameworks with weighted criteria and scoring rules to support health resource allocation decisions.,subfield,U30.05,U30
Design multi-sited and multi-scalar research strategies linking local settings to wider institutional and policy contexts.,subfield,U07.01,U07
Design multi-stage assessment sequences in which brief screening results determine which participants receive in-depth diagnostic evaluation.,subfield,U07.02,U07
Design multi-stage tandem mass spectrometry acquisition strategies that combine complementary precursor ions or activation methods for structural elucidation.,subfield,U07.08,U07
Design mutagenesis experiments to probe structure-function relationships in proteins.,subfield,U07.13,U07
Design network protocols and node cooperation strategies to coordinate transmissions among distributed nodes.,subfield,U30.01,U30
Design neuroimaging studies with appropriate control conditions and imaging timepoints to detect brain changes.,subfield,U07.01,U07
Design new algorithms and data representations to solve specified computational problems.,subfield,U30.01,U30
Design new observables and analysis strategies to discriminate between competing new-physics interpretations.,subfield,U29.03,U29
Design novel catalyst and ligand systems from mechanistic and structure-reactivity hypotheses to enable new transformations.,subfield,U30.03,U30
Design observational studies to assess risk factors for infection acquisition or disease progression.,subfield,U07.02,U07
Design observational studies to examine long-term outcomes of psychiatric treatment in real-world settings.,subfield,U07.02,U07
"Design observational studies to identify risk factors for infection and disease spread within herds, flocks, and wildlife populations.",subfield,U07.02,U07
Design observational studies using emergency department registries to evaluate diagnostic and treatment protocols.,subfield,U07.02,U07
Design occupational cohort studies to track worker health outcomes in relation to job exposures over time.,subfield,U07.02,U07
Design on-chip physical layout geometry to minimize parasitics and maximize device signal quality before fabrication.,subfield,U30.01,U30
Design oncology clinical trials with appropriate tumor response criteria and survival endpoints.,subfield,U07.02,U07
Design optical setups with vibration isolation and temperature control to minimize environmental noise.,subfield,U07.10,U07
Design oral history interview protocols to elicit personal narratives about lived experiences and cultural practices.,subfield,U07.05,U07
Design oral history or ethnographic interview protocols to document traditional knowledge relevant to archaeological interpretation.,subfield,U07.05,U07
Design oral history protocols to collect testimonies from communities affected by colonial legacies.,subfield,U07.05,U07
Design oral history protocols to document lived experiences and collective memory within specific regional communities.,subfield,U07.05,U07
"Design oral history protocols to document living religious traditions, practices, or community memories.",subfield,U07.05,U07
"Design oral history protocols to document the experiences and perspectives of scientists, engineers, or medical practitioners.",subfield,U07.05,U07
"Design outbreak investigations to identify sources, modes of transmission, and populations at highest risk.",subfield,U07.02,U07
Design outcome measures capturing eyewitness memory accuracy and judgments about a witnessed event.,subfield,U07.14,U07
"Design parent or caregiver questionnaires to assess home learning environments, parenting practices, or family engagement in early education.",subfield,U07.03,U07
Design performance-based achievement tests to measure students' academic or skill attainment.,subfield,U07.04,U07
"Design perioperative clinical trials with endpoints measuring pain scores, opioid consumption, and functional recovery.",subfield,U07.02,U07
Design photoinitiating systems by matching chromophore absorption to the emission of the intended irradiation source.,subfield,U30.03,U30
Design physical-layer transmission and reception schemes to improve communication link performance,subfield,U30.01,U30
Design pilot-scale treatment systems to evaluate waste processing technologies under controlled conditions.,subfield,U07.10,U07
"Design plasma confinement geometries to achieve target density, temperature, and stability conditions.",subfield,U30.01,U30
Design policy packages combining multiple instruments to address environmental market failures.,subfield,U30.05,U30
"Design polymerization reactions with controlled temperature, atmosphere, and monomer feed rates to achieve target molecular architectures.",subfield,U30.03,U30
Design pragmatic clinical studies evaluating nursing care protocols or allied health interventions in real-world healthcare settings.,subfield,U07.02,U07
Design pragmatic clinical trials that accommodate the unpredictable patient flow and acuity variations in emergency departments.,subfield,U07.02,U07
Design pragmatic clinical trials that can be implemented within routine primary care workflows.,subfield,U07.02,U07
"Design predictive models of workload, cost, or reliability that drive online resource allocation and job placement decisions.",subfield,U09.06,U09
Design procedural controls that hold constant or randomize incidental features of the experimental setting to rule out confounds.,subfield,U07.01,U07
Design process or implementation evaluations alongside clinical outcome evaluation of mental health services.,subfield,U07.02,U07
Design professional development cycles that structure STEM teachers' collaborative planning and reflection for research purposes.,subfield,U07.01,U07
Design programming or query interfaces that let users express operations while hiding underlying execution details.,subfield,U30.01,U30
"Design prospective clinical trials in client-owned animals with clinically relevant endpoints such as survival, return to function, and quality of life.",subfield,U07.02,U07
Design prospective cohort studies to examine long-term risk factors for incident chronic disease.,subfield,U07.02,U07
Design prospective cohort studies to track pregnancy outcomes across trimesters.,subfield,U07.02,U07
Design prospective pregnancy or birth cohort studies to follow mothers and children over time.,subfield,U07.02,U07
"Design prospective surgical trials with appropriate endpoints such as operative time, length of stay, and complication rates.",subfield,U07.02,U07
Design protocols for collecting oral histories or ethnographic accounts related to mortuary practices or population histories.,subfield,U07.05,U07
Design pulse sequences for coherent control and manipulation of quantum states.,subfield,U07.11,U07
"Design purely qualitative studies with purposive sampling and saturation criteria to explore experiences of care, practice, or illness.",subfield,U07.06,U07
Design purposive and theoretical sampling strategies for qualitative studies of health-system stakeholders.,subfield,U07.06,U07
Design purposive sampling strategies to select information-rich and diverse participants for qualitative health research.,subfield,U07.06,U07
"Design qualitative protocols to understand household decision-making processes around savings, investment, and risk management.",subfield,U07.05,U07
Design quality improvement studies with appropriate pre-post or stepped-wedge methodologies.,subfield,U07.02,U07
"Design quantum communication and computation protocols specifying how quantum resources encode, transmit, and process information.",subfield,U30.01,U30
"Design questionnaires to assess physical activity levels, sedentary behavior, or exercise motivation.",subfield,U07.03,U07
"Design questionnaires to elicit speaker intuitions about meaning, acceptability, or pragmatic interpretation.",subfield,U07.04,U07
"Design questionnaires to measure language learner attitudes, motivation, anxiety, or self-efficacy toward target language use.",subfield,U07.03,U07
"Design questionnaires to measure translator attitudes, decision-making processes, or professional practices.",subfield,U07.03,U07
Design randomized controlled trials comparing surgical techniques while accounting for patient signalment and disease severity.,subfield,U07.02,U07
Design randomized controlled trials comparing surgical versus conservative treatment approaches for musculoskeletal conditions.,subfield,U07.02,U07
"Design randomized controlled trials evaluating cardiovascular drugs, devices, or procedural interventions with appropriate clinical endpoints.",subfield,U07.02,U07
Design randomized controlled trials to evaluate psychiatric medication efficacy and tolerability.,subfield,U07.02,U07
Design randomized controlled trials with control conditions and allocation procedures to test intervention effects on developmental outcomes.,subfield,U07.01,U07
"Design randomized or quasi-experimental evaluations, including cluster-level allocation, to estimate health intervention effects.",subfield,U07.02,U07
Design randomized trials evaluating weight-loss interventions with body-composition and metabolic endpoints.,subfield,U07.02,U07
Design rating scales or ordinal response formats suitable for rank-based statistical analysis.,subfield,U07.07,U07
Design reader studies with appropriate blinding and randomization to evaluate radiologist interpretation performance.,subfield,U07.02,U07
Design reciprocal transplant or common garden experiments to distinguish genetic and environmental effects on plant traits.,subfield,U07.12,U07
Design recruitment and sampling procedures to assemble experimental subject pools from target populations.,subfield,U07.06,U07
"Design resident surveys to measure perceptions of neighborhood quality, housing satisfaction, or access to services.",subfield,U07.03,U07
Design respondent identification mechanisms that preserve anonymity while enabling targeted follow-up or record linkage.,subfield,U07.06,U07
Design retrosynthetic pathways to identify viable routes for target molecule synthesis.,subfield,U30.03,U30
Design rheological experiments with controlled temperature and shear conditions to characterize polymer flow behavior.,subfield,U07.11,U07
Design rubrics and scoring guides to evaluate student performance on constructed-response tasks.,subfield,U07.07,U07
Design rule-based or switching decision logic that selects among discrete robot behaviors or controller modes.,subfield,U30.01,U30
Design sampling schemes that ensure valid statistical inference for target populations.,subfield,U07.06,U07
"Design sampling strategies for rock, sediment, and water collection to ensure spatial and temporal representativeness.",subfield,U07.12,U07
Design sampling strategies to capture taxonomic diversity across geographic ranges and habitat types.,subfield,U07.12,U07
Design schemes that partition and move data across distributed computing or network resources to use them efficiently.,subfield,U30.01,U30
"Design self-report batteries to assess psychological symptoms, functioning, and treatment response.",subfield,U07.03,U07
"Design self-report instruments to measure offending behavior, victimization experiences, or fear of crime.",subfield,U07.03,U07
"Design self-report instruments to measure offending behavior, victimization experiences, or perceptions of the criminal justice system.",subfield,U07.03,U07
"Design self-report instruments to measure student motivation, self-efficacy, or learning strategies.",subfield,U07.03,U07
"Design self-report measures to assess emotional regulation, coping styles, or motivational tendencies.",subfield,U07.03,U07
"Design self-report measures to assess job satisfaction, organizational commitment, and turnover intentions.",subfield,U07.03,U07
"Design self-report measures to assess offending history, victimization experiences, or attitudes toward criminal behavior.",subfield,U07.03,U07
"Design self-report measures to assess psychological constructs such as stress, coping, or health-related self-efficacy.",subfield,U07.03,U07
"Design self-report scales to assess metacognitive awareness, cognitive strategies, or subjective experiences.",subfield,U07.03,U07
Design self-report scales to measure implicit and explicit attitudes toward social groups.,subfield,U07.03,U07
Design semi-structured interview guides that accommodate culturally specific communication norms and local languages.,subfield,U07.05,U07
Design semi-structured interview protocols appropriate for children or adolescents at varying developmental levels.,subfield,U07.05,U07
Design semi-structured interview protocols to explore employee experiences with organizational change or leadership.,subfield,U07.05,U07
Design semi-structured interview protocols to explore strategic decision-making processes among top management teams.,subfield,U07.05,U07
Design semi-structured interview protocols to explore subjective experiences of social identity and group membership.,subfield,U07.05,U07
Design series of computational model systems with systematic structural variation to isolate specific theoretical effects.,subfield,U09.09,U09
Design seroprevalence surveys to estimate the extent of prior infection and population-level immunity.,subfield,U07.02,U07
"Design shelf-life studies with appropriate storage conditions, sampling intervals, and replication.",subfield,U07.11,U07
Design shielding configurations to minimize background radiation and electromagnetic interference in measurements.,subfield,U07.10,U07
Design silvopastoral experiments with randomized treatments to assess livestock-tree-pasture interactions.,subfield,U07.12,U07
Design simulation experiments to evaluate the performance of statistical estimators under varying sample sizes and data conditions.,subfield,U09.09,U09
Design simulation-based studies to evaluate resuscitation and teamwork performance of clinicians or lay rescuers.,subfield,U07.01,U07
"Design sintering experiments with controlled atmosphere, temperature profiles, and heating rates.",subfield,U07.11,U07
Design sociolinguistic interview protocols that elicit naturalistic speech across multiple registers and topics.,subfield,U07.05,U07
Design spatial and path representations that make robot planning problems computationally tractable.,subfield,U09.07,U09
Design state estimation algorithms that reconstruct unmeasured quantities from noisy sensor measurements,subfield,U09.11,U09
Design stated preference surveys using contingent valuation or choice experiments to elicit willingness to pay for environmental goods.,subfield,U07.04,U07
Design stimulated recall protocols to elicit learner or teacher reflections on language use during instructional tasks.,subfield,U07.05,U07
Design stimulus-presentation or conditioning experiments with defined training and treatment cues to test animal discrimination and learning.,subfield,U07.04,U07
Design structured abstraction forms to extract standardized variables from institutional case files and administrative records.,subfield,U07.07,U07
Design structured interview protocols to elicit verbal reports of cognitive processes or phenomenological experiences.,subfield,U07.05,U07
Design structured interview tasks to investigate grammatical variation across speaker groups.,subfield,U07.05,U07
Design studies comparing treatment regimens for inflammatory bowel disease with appropriate disease activity indices as endpoints.,subfield,U07.02,U07
Design studies comparing typically developing controls with participants having neurodevelopmental conditions using age-appropriate assessments.,subfield,U07.02,U07
"Design studies evaluating educational or training programs using knowledge, skill, or competency assessments as endpoints.",subfield,U07.01,U07
Design studies evaluating hemodynamic stability and cardiovascular outcomes during anesthetic management.,subfield,U07.02,U07
Design studies that collect or review spontaneously reported adverse drug reactions for post-marketing surveillance.,subfield,U07.02,U07
Design studies that evaluate candidate diagnostic or screening tests against a reference standard in animal populations.,subfield,U07.02,U07
Design studies that pair doctrinal analysis of legal texts with fieldwork on how the norms operate in practice.,subfield,U07.01,U07
Design studies to assess exposure-response relationships between environmental or occupational hazards and health.,subfield,U07.02,U07
Design studies to evaluate the effectiveness of injury-prevention interventions and safety policies.,subfield,U07.02,U07
Design studies with appropriate gestational age windows and trimester-specific endpoints.,subfield,U07.02,U07
Design studies with renal function endpoints using validated measures such as estimated glomerular filtration rate and proteinuria.,subfield,U07.02,U07
Design supervisory switching and reconfiguration logic that selects among multiple controllers during operation.,subfield,U30.01,U30
Design surveillance studies to detect and monitor emerging and endemic zoonotic pathogens in animal reservoirs.,subfield,U07.02,U07
Design surveillance studies to monitor dietary intake and nutritional status across population subgroups.,subfield,U07.02,U07
"Design surveillance systems to detect outbreaks, monitor disease trends, or evaluate interventions in near-real time.",subfield,U07.02,U07
"Design survey and interview instruments to assess stakeholder practices, perceptions, and institutional capacity relevant to animal disease control.",subfield,U07.03,U07
"Design survey instruments incorporating validated intercultural competence scales to measure cross-cultural adaptation, communication apprehension, or cultural identity.",subfield,U07.03,U07
"Design survey instruments that accurately capture religious observance, belief, and identity among Muslim respondents.",subfield,U07.03,U07
Design survey instruments that capture non-binary gender identities and diverse sexual orientations using inclusive response options.,subfield,U07.03,U07
"Design survey instruments that capture religious identity, practice, and belief while respecting theological nuances across traditions.",subfield,U07.03,U07
"Design survey instruments that capture respondents' spatial behaviors, mobility patterns, and place-based experiences.",subfield,U07.03,U07
"Design survey instruments to assess perceptions of rights violations, access to justice, or legal awareness among affected populations.",subfield,U07.03,U07
Design survey instruments to assess scientists' reasoning practices and methodological commitments.,subfield,U07.03,U07
"Design survey instruments to capture firm-level data on supply chain linkages, labor sourcing, and locational decision-making.",subfield,U07.03,U07
"Design survey instruments to collect farm-level data on production costs, input use, and management practices.",subfield,U07.03,U07
"Design survey instruments to measure acculturation, belonging, or experiences of discrimination among immigrant populations.",subfield,U07.03,U07
"Design survey instruments to measure brand perceptions, purchase intentions, or customer satisfaction.",subfield,U07.03,U07
"Design survey instruments to measure entrepreneurial intentions, opportunity recognition, or innovation adoption behaviors.",subfield,U07.03,U07
"Design survey instruments to measure experiences with divorce proceedings, custody arrangements, or domestic relations courts.",subfield,U07.03,U07
"Design survey instruments to measure financial literacy, investment decision-making, or risk preferences among individuals or managers.",subfield,U07.03,U07
"Design survey instruments to measure firm-level internationalization processes, entry mode choices, or foreign market commitment.",subfield,U07.03,U07
"Design survey instruments to measure health information seeking behaviors, source credibility perceptions, and message recall.",subfield,U07.03,U07
"Design survey instruments to measure healthcare utilization, out-of-pocket expenditures, and insurance coverage status.",subfield,U07.03,U07
"Design survey instruments to measure immigrant experiences with legal processes, such as asylum procedures or visa applications.",subfield,U07.03,U07
"Design survey instruments to measure job search behavior, reservation wages, and employment history.",subfield,U07.03,U07
"Design survey instruments to measure media consumption patterns, news credibility perceptions, or audience engagement.",subfield,U07.03,U07
"Design survey instruments to measure moral intuitions, ethical judgments, or value commitments across respondent populations.",subfield,U07.03,U07
