task,level,domain,field,subfield,n_substeps,researcher_hours,elapsed_hours,confidence
"Perform a priori sample size and statistical power calculations for planned clinical, observational, or survey studies using anticipated effect sizes and event rates.",field,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,11,9.48,56.65,medium
Perform clinical examination and grading of non-carious dental hard-tissue conditions such as tooth wear and developmental anomalies.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,10,42.33,42.33,medium
Deliver and document individualized dental treatment procedures for patients in case-based clinical research.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,12,3.62,3.7,medium
Design controlled in vitro experiments that allocate dental specimens across treatment and processing conditions.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,13,63.92,676.17,medium
Quantify demineralization and surface loss in dental hard-tissue specimens using microhardness and surface-profile measurements.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,9,88.07,273.67,medium
Harmonize periodontal disease classifications across different diagnostic criteria and coding systems.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,12,49.33,94.58,medium
Standardize dental caries scoring methods when combining data from multiple clinical sites or studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,12,60.08,1042.42,medium
"Analyze time-to-failure outcomes for dental restorations, implants, or prosthetic devices.",subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,10,53.08,97.92,medium
Model tooth survival and extraction rates following endodontic or periodontal treatments.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,14,226.0,616.0,medium
Estimate treatment effects of periodontal interventions while controlling for patient oral hygiene behaviors and systemic health conditions.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,12,65.5,67.0,medium
Adjust for baseline caries risk factors when evaluating preventive dental treatment outcomes.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,12,182.33,7397.33,medium
"Apply standardized diagnostic and severity criteria to classify study patients into disease categories, subtypes, or response states",field,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,9,29.58,29.58,medium
Train and supervise study personnel to ensure consistent application of study data collection procedures,domain,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,10,113.33,184.33,medium
Evaluate the reliability and validity of measurement and coding procedures against reference standards or repeated observations,domain,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,10,30.83,57.17,medium
Test effect modification across patient subgroups using interaction terms or stratified analyses,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,10,19.9,20.17,medium
Perform histological and immunohistochemical analysis of tissue specimens to classify pathology and quantify marker expression,field,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,11,58.17,149.57,medium
Coordinate with dental schools and community dental clinics for patient recruitment and data collection.,subfield,Health Sciences,Medicine & Clinical Sciences,Dentistry & Oral Health,15,427.92,6117.33,medium
Formulate hypotheses about mechanisms of acute kidney injury progression to chronic kidney disease.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,9,50.42,118.92,medium
"Develop hypotheses regarding risk factors for urological malignancies including prostate, bladder, and renal cell carcinoma.",subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,8,80.83,332.33,medium
Generate hypotheses about factors affecting renal transplant outcomes and graft survival.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,56.5,268.75,medium
Formulate hypotheses on the relationship between metabolic disorders and kidney stone formation.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,9,54.58,54.58,medium
Design clinical trials evaluating dialysis modalities and vascular access outcomes in end-stage renal disease patients.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,15,157.17,1482.0,medium
Develop study protocols comparing surgical versus medical management of urological conditions with appropriate functional endpoints.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,13,98.83,1513.0,medium
Design studies with renal function endpoints using validated measures such as estimated glomerular filtration rate and proteinuria.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,12,40.5,419.25,medium
Plan oncological studies in urology with disease-specific survival and recurrence endpoints.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,77.67,642.67,medium
Collect urine samples for biomarker analysis and urinalysis in kidney disease studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,13,59.17,104.33,medium
Obtain kidney biopsy specimens for histopathological and molecular analysis.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,1.93,6.67,medium
Recruit patients from dialysis centers and transplant clinics for longitudinal outcome studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,255.92,1803.92,medium
Collect semen samples and reproductive tissue for male fertility research.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,134.58,3612.25,medium
"Acquire renal and urological imaging data including ultrasound, CT urography, and nuclear medicine scans.",subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,156.92,1176.33,medium
Obtain cystoscopy and ureteroscopy images for bladder and upper tract evaluation.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,1.7,1.92,medium
Establish cell culture models of target tissue as experimental substrates for mechanistic in vitro study,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,80.0,1536.17,medium
Perform functional and perturbation assays in cultured cells to test candidate molecular mechanisms of disease,field,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,124.5,1776.0,medium
"Perform the operative, endoscopic, or catheter-based intervention under study in patients with standardized technique",subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,2.5,2.57,medium
"Quantify gene, transcript, and protein expression in cell, tissue, or fluid specimens using molecular and immuno-based laboratory assays.",field,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,64.7,92.9,medium
"Establish animal models of disease or injury via surgical, pharmacological, chemical, or genetic manipulation for mechanistic and therapeutic experiments.",field,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,9,113.22,2864.27,medium
Genotype participants' biospecimens to detect genetic variants defining disease-relevant or biological subgroups,domain,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,12,102.23,366.0,medium
Acquire microscopy images of experimental specimens and quantify cellular or subcellular morphology and features by image-based analysis.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,36.02,37.57,medium
Annotate genetic variants and protein sequences using computational prediction tools and reference databases.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,15.58,17.25,medium
Screen panels of candidate molecules using high-throughput expression or multiplex assays to identify disease-associated markers.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,57.93,179.43,medium
Standardize kidney function measurements across studies using established equations and classification systems.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,8,45.58,54.75,medium
Harmonize urological symptom scores and quality of life measures across different validated instruments.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,83.63,88.97,medium
Analyze time to renal replacement therapy initiation or kidney transplantation in chronic kidney disease cohorts.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,12,75.5,136.0,medium
Evaluate cancer-specific and overall survival outcomes following treatment for urological malignancies.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,172.83,1155.5,medium
Assess graft survival and patient survival following kidney transplantation.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,56.42,103.75,medium
Estimate treatment effects of immunosuppressive regimens on transplant outcomes while adjusting for donor and recipient characteristics.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,13,119.08,499.08,medium
Evaluate effectiveness of interventions for chronic kidney disease progression while accounting for baseline kidney function and comorbidities.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,11,139.5,344.75,medium
"Apply standardized diagnostic and severity criteria to classify study patients into disease categories, subtypes, or response states",field,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,9,21.92,44.42,medium
"Administer standardized questionnaires and rating scales to participants to collect self-reported symptoms, behaviors, and psychosocial outcomes",domain,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,9,127.17,229.0,medium
Administer pharmacological or biologic agents to experimental animal models to probe candidate disease mechanisms,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,13,242.67,1656.17,medium
Coordinate with nephrology practices and dialysis units for patient recruitment and data collection.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,9,282.83,6776.0,medium
Collaborate with urology departments and cancer centers for access to surgical specimens and clinical data.,subfield,Health Sciences,Medicine & Clinical Sciences,Nephrology & Urology,10,95.33,3578.0,medium
Formulate hypotheses about maternal-fetal physiological interactions and their effects on pregnancy outcomes.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,44.18,284.35,medium
Develop research questions examining hormonal influences on reproductive function and fertility.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,49.63,285.63,medium
Generate hypotheses about risk factors for gynecologic malignancies and their progression.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,86.42,349.67,medium
Design prospective cohort studies to track pregnancy outcomes across trimesters.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,15,170.0,1304.0,medium
Develop randomized controlled trials comparing interventions for labor and delivery management.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,20,298.67,3624.0,medium
Design studies with appropriate gestational age windows and trimester-specific endpoints.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,63.75,751.42,medium
Obtain informed consent from pregnant participants addressing risks to both mother and fetus.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,16,2.27,3.07,medium
Navigate IRB requirements for research involving vulnerable populations including pregnant women and fetuses.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,59.67,721.67,medium
Ensure compliance with regulations governing the collection and storage of reproductive tissues and fetal specimens.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,76.67,1299.33,medium
Recruit pregnant women at specific gestational ages for longitudinal pregnancy studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,499.0,1160.0,medium
"Collect biological specimens including placental tissue, cord blood, and amniotic fluid for analysis.",subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,3.42,7.37,medium
Obtain cervical samples and endometrial biopsies for gynecologic research.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,28.63,30.3,medium
Acquire obstetric ultrasound imaging data to assess fetal growth and development.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,1.02,1.1,high
Collect pelvic imaging data for evaluation of gynecologic conditions and tumors.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,9,247.67,384.67,medium
"Administer standardized questionnaires and rating scales to participants to collect self-reported symptoms, behaviors, and psychosocial outcomes",domain,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,9,123.33,360.67,medium
Perform functional and perturbation assays in cultured cells to test candidate molecular mechanisms of disease,field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,161.67,1489.25,medium
"Conduct semi-structured interviews or focus groups with patients, caregivers, and clinicians to elicit their perspectives",subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,248.37,2650.03,medium
Code qualitative interview and focus-group data thematically to identify recurring themes and categories,domain,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,173.92,203.92,medium
"Document the clinical course, management, and outcomes of individual patients or case series to characterize rare presentations",field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,28.05,101.05,medium
Administer ovarian stimulation and monitor follicular development to time fertility interventions.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,2.98,50.22,medium
Perform procedures to retrieve oocytes and ovarian tissue for assisted reproduction and fertility preservation.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,13,4.47,293.15,medium
Evaluate medication safety and prescribing appropriateness in obstetric and gynecologic patients to detect adverse drug effects.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,3.27,4.18,medium
"Perform a priori sample size and statistical power calculations for planned clinical, observational, or survey studies using anticipated effect sizes and event rates.",field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,10.47,130.55,medium
"Quantify gene, transcript, and protein expression in cell, tissue, or fluid specimens using molecular and immuno-based laboratory assays.",field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,50.93,70.05,medium
Genotype participants' biospecimens to detect genetic variants defining disease-relevant or biological subgroups,domain,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,80.08,272.78,medium
Process tissue specimens into sections or microarrays for microscopic and immunohistochemical analysis.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,41.88,135.2,medium
Standardize gestational age calculations and pregnancy dating across different clinical sources.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,46.67,46.67,medium
Harmonize obstetric outcome definitions across institutions and international coding systems.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,176.58,1301.58,medium
Analyze time-to-delivery outcomes accounting for competing risks and gestational age at enrollment.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,37.58,44.08,medium
Model time to pregnancy and fertility treatment outcomes in reproductive studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,62.25,125.75,medium
Evaluate survival and recurrence outcomes in gynecologic oncology research.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,203.67,275.33,medium
Estimate treatment effects on maternal and neonatal outcomes while adjusting for pregnancy-specific confounders.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,14,135.83,445.67,medium
Account for gestational age as a time-varying confounder in perinatal intervention studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,89.08,195.58,medium
"Apply standardized diagnostic and severity criteria to classify study patients into disease categories, subtypes, or response states",field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,9,29.63,81.0,medium
Assess selection and non-response bias by comparing enrolled participants with non-participants or the source population,field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,27.25,91.25,medium
Perform histological and immunohistochemical analysis of tissue specimens to classify pathology and quantify marker expression,field,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,11,76.77,654.93,medium
Perform laboratory assays on biospecimens to quantify biomarker and analyte levels for research measures,domain,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,10,22.4,28.02,medium
Develop descriptive classification and grading systems to categorize anatomical features or disease severity,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,13,276.67,3409.67,medium
Coordinate with labor and delivery units for prospective sample collection during childbirth.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,13,180.25,2142.33,medium
Establish partnerships with prenatal clinics for longitudinal participant recruitment and follow-up.,subfield,Health Sciences,Medicine & Clinical Sciences,Obstetrics & Gynecology,12,251.58,5969.0,medium
Formulate hypotheses about mechanisms of vision loss or hearing impairment based on anatomical and physiological evidence.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,9,41.1,101.1,medium
Develop hypotheses regarding risk factors for progressive sensory disorders such as glaucoma or sensorineural hearing loss.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,8,63.02,110.52,medium
Perform functional and perturbation assays in cultured cells to test candidate molecular mechanisms of disease,field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,128.83,1629.0,medium
"Design clinical trials with visual acuity, intraocular pressure, or audiometric thresholds as primary endpoints.",subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,15,64.17,835.17,medium
Establish appropriate control groups for surgical intervention studies involving ocular or otologic procedures.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,42.83,1148.0,medium
Recruit patients with specific ocular or otologic conditions from subspecialty clinics for prospective studies.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,214.17,1251.0,medium
"Collect ocular tissue samples, aqueous humor, or tear fluid for laboratory analysis.",subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,50.42,805.35,medium
Obtain middle ear fluid or nasal mucosal samples during surgical procedures for research purposes.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,9,1.22,1.72,medium
"Acquire retinal imaging data using optical coherence tomography, fundus photography, or fluorescein angiography.",subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,12,1.83,2.32,medium
Obtain temporal bone or sinus imaging data from CT or MRI scans for anatomical or pathological analysis.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,144.92,939.0,medium
Collect corneal topography and anterior segment imaging for studies of ocular surface disorders.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,12,88.8,2971.07,medium
"Apply standardized diagnostic and severity criteria to classify study patients into disease categories, subtypes, or response states",field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,9,42.95,134.37,medium
Establish cell culture models of target tissue as experimental substrates for mechanistic in vitro study,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,73.22,4953.7,medium
Design population-based health surveys with probability sampling to obtain representative population estimates,domain,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,52.0,476.0,medium
"Document the clinical course, management, and outcomes of individual patients or case series to characterize rare presentations",field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,29.08,102.0,medium
Perform histological and immunohistochemical analysis of tissue specimens to classify pathology and quantify marker expression,field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,52.2,180.68,medium
Develop and analytically validate custom laboratory assays to quantify biomarkers in clinical specimens,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,14,195.5,1619.0,medium
Measure refractive error and ocular biometric parameters such as cycloplegic refraction and axial length.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,45.25,53.83,medium
Assess sensory and functional disability using standardized questionnaires or performance-based assessments,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,70.38,141.63,medium
Develop and apply advanced optical microscopy methods to image cellular and matrix structures in living or excised ocular tissue.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,12,156.43,740.27,medium
Label administered cells or drugs to track their distribution and survival in ocular tissue after delivery.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,123.58,777.67,medium
"Perform a priori sample size and statistical power calculations for planned clinical, observational, or survey studies using anticipated effect sizes and event rates.",field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,8.8,32.05,high
"Quantify gene, transcript, and protein expression in cell, tissue, or fluid specimens using molecular and immuno-based laboratory assays.",field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,36.7,55.85,medium
"Establish animal models of disease or injury via surgical, pharmacological, chemical, or genetic manipulation for mechanistic and therapeutic experiments.",field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,9,94.72,1721.03,medium
"Develop definitions, protocols, and practice recommendations through structured expert consensus",domain,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,302.67,5184.0,medium
Acquire microscopy images of experimental specimens and quantify cellular or subcellular morphology and features by image-based analysis.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,14,18.42,24.77,medium
Administer clinical psychophysical tests of visual function such as perimetry and binocular vergence measurement.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,12,1.02,1.05,medium
Harmonize visual acuity measurements across different notation systems and testing protocols.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,13,21.47,21.47,medium
Standardize audiometric data collected using different equipment or calibration standards across study sites.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,25.93,480.68,medium
"Analyze time to vision loss, graft failure, or hearing deterioration as primary study outcomes.",subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,12,74.67,173.67,medium
Model progression of retinal or cochlear degeneration using longitudinal imaging or functional measurements.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,15,175.92,522.42,medium
Estimate treatment effects of ophthalmic or otologic interventions while adjusting for baseline disease severity.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,13,39.08,57.33,medium
Account for confounding by indication when comparing surgical versus medical management of sensory disorders.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,107.58,134.25,medium
Evaluate the reliability and validity of measurement and coding procedures against reference standards or repeated observations,domain,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,30.42,93.75,medium
Derive quantitative anatomical measurements from medical images using manual or automated segmentation methods,field,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,9,64.27,73.27,medium
Convert refractive and optical measurements into analysis-ready components using optical correction formulae.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,8,16.58,16.58,medium
Account for inter-eye or inter-ear correlation when analyzing bilateral organ data.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,9,12.08,12.08,medium
"Delineate or segment regions on medical images and extract quantitative morphological, intensity, or radiomic metrics from them.",subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,11,58.75,65.83,medium
Coordinate with ophthalmology or otolaryngology departments at multiple institutions for multicenter trial recruitment.,subfield,Health Sciences,Medicine & Clinical Sciences,Ophthalmology & Otolaryngology,10,321.0,2584.83,medium
"Formulate hypotheses about nursing interventions and their effects on patient outcomes such as falls, infections, or pressure injuries.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,9,36.65,203.65,medium
Develop research questions examining relationships between care delivery models and patient safety or quality indicators.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,9,37.68,269.6,medium
Assess patients' and stakeholders' acceptability of and preferences for study interventions and technologies,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,12,284.5,1378.5,medium
Design pragmatic clinical studies evaluating nursing care protocols or allied health interventions in real-world healthcare settings.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,19,170.08,2677.08,medium
Plan mixed-methods studies combining quantitative patient outcomes with qualitative data on care experiences.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,14,103.5,1628.0,medium
"Obtain IRB approval for studies involving vulnerable populations such as elderly patients, critically ill individuals, or those with cognitive impairments.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,10,52.92,1117.08,medium
Develop informed consent procedures appropriate for patients with varying levels of health literacy or decision-making capacity.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,12,50.42,586.42,medium
Ensure protection of sensitive patient information when collecting data on care processes and health outcomes.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,10,72.22,405.88,medium
"Recruit patients and caregivers from inpatient units, outpatient clinics, or long-term care facilities for study participation.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,13,210.48,526.73,medium
"Conduct semi-structured interviews or focus groups with patients, caregivers, and clinicians to elicit their perspectives",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,11,184.83,4312.33,medium
Code qualitative interview and focus-group data thematically to identify recurring themes and categories,domain,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,12,207.33,554.58,medium
Develop and refine the content and delivery format of a non-pharmacological intervention before trial evaluation,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,13,528.0,4368.0,medium
Deliver structured behavioral or nursing interventions to participants according to the study protocol,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,13,2.03,2.03,medium
Select study sites or facilities purposively based on contextual characteristics such as geography or socioeconomic status.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,10,57.15,570.23,medium
Apply an established theoretical framework to structure the coding and interpretation of qualitative data.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,12,139.25,369.25,medium
"Design purely qualitative studies with purposive sampling and saturation criteria to explore experiences of care, practice, or illness.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,11,56.5,1076.17,medium
"Design studies evaluating educational or training programs using knowledge, skill, or competency assessments as endpoints.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,15,111.33,835.67,medium
"Design and administer surveys to clinicians or health professionals to measure their knowledge, attitudes, practices, and work-related experiences.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,12,90.25,2286.75,medium
"Develop conceptual models, theoretical frameworks, or typologies of health care phenomena from theoretical and qualitative analysis.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,13,401.42,1134.75,medium
Standardize nursing assessment data and care documentation across multiple clinical sites or healthcare systems.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,13,658.0,2517.67,low
Map nursing diagnoses and interventions to standardized terminologies for cross-institutional comparisons.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,11,150.5,671.0,medium
"Analyze patient outcomes over time including hospital readmissions, recovery trajectories, or disease progression.",subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,12,120.5,418.5,medium
Estimate effects of nursing staffing levels or care interventions while controlling for patient acuity and comorbidities.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,14,155.17,906.0,medium
Adjust for selection bias when comparing outcomes across different care settings or patient populations.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,11,59.92,272.08,medium
Evaluate the reliability and validity of measurement and coding procedures against reference standards or repeated observations,domain,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,10,53.33,122.42,medium
Coordinate with nursing units and allied health departments to facilitate patient recruitment and data collection.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,10,173.67,868.17,medium
Collaborate with interdisciplinary clinical teams to integrate research protocols into routine care workflows.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,13,80.83,3740.08,medium
Train and supervise study personnel to ensure consistent application of study data collection procedures,domain,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,10,143.25,242.75,medium
Engage participants and stakeholders in reviewing study data or findings to validate and refine interpretations.,subfield,Health Sciences,Medicine & Clinical Sciences,Nursing & Allied Health,11,64.33,910.5,medium
Formulate hypotheses about mechanisms of acute and chronic pain pathways to identify therapeutic targets.,subfield,Health Sciences,Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,10,71.17,127.5,medium
Develop hypotheses regarding anesthetic agent effects on organ systems and patient outcomes.,subfield,Health Sciences,Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,9,33.17,184.17,medium
