task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
"Classify patent claims or trademark applications by technology field, industry sector, or legal category.",subfield,Social Sciences,Law,Intellectual Property Law,15.0,10.0,60.0,10.0,5.0,95.0,0.0,5.0,0.0,20.0,55.0,15.0,10.0,1.83,0.0,0.26,1.0,7.09,9.33,7.44,yes,2.0,4.0,Edison,16.0,substep_mean
Control for firm characteristics and market conditions when analyzing the effects of IP rights on innovation outcomes.,subfield,Social Sciences,Law,Intellectual Property Law,5.0,0.0,90.0,5.0,0.0,100.0,0.0,0.0,5.0,90.0,0.0,0.0,5.0,1.99,0.0,0.1,1.0,6.0,7.46,5.78,yes,4.0,4.0,Pasteur,18.0,substep_mean
Address endogeneity in studies examining the relationship between patent strength and research investment.,subfield,Social Sciences,Law,Intellectual Property Law,10.0,5.0,70.0,10.0,5.0,95.0,0.0,5.0,10.0,80.0,0.0,10.0,0.0,2.59,0.0,0.0,1.0,4.85,7.31,5.15,yes,4.0,4.0,Pasteur,20.0,substep_mean
Build computational pipelines or public platforms to process and link large-scale patent corpora.,subfield,Social Sciences,Law,Intellectual Property Law,5.0,0.0,70.0,5.0,20.0,95.0,0.0,5.0,0.0,20.0,0.0,75.0,5.0,1.88,0.0,0.06,1.0,7.83,9.25,7.85,yes,1.0,5.0,Edison,16.0,substep_mean
Evaluate the transferability of legal interpretations across jurisdictions with different constitutional frameworks.,subfield,Social Sciences,Law,Comparative Law,20.0,25.0,40.0,15.0,0.0,95.0,0.0,5.0,35.0,0.0,60.0,0.0,5.0,2.81,0.0,0.33,1.0,4.07,7.49,4.52,yes,4.0,3.0,Bohr,20.0,substep_mean
Apply legal transplant theory to analyze how legal rules and institutions transfer across jurisdictions.,subfield,Social Sciences,Law,Comparative Law,30.0,10.0,35.0,20.0,5.0,95.0,0.0,5.0,45.0,5.0,40.0,0.0,10.0,2.79,0.0,0.15,1.0,3.72,6.77,4.17,yes,4.0,3.0,Bohr,20.0,substep_mean
Frame research questions using functionalist or culturalist approaches to compare legal systems.,subfield,Social Sciences,Law,Comparative Law,40.0,5.0,40.0,15.0,0.0,95.0,0.0,5.0,45.0,0.0,45.0,0.0,10.0,2.87,0.0,0.0,1.0,2.71,8.21,3.52,yes,4.0,2.0,Bohr,20.0,substep_mean
"Design interview protocols to collect perspectives from legal practitioners, judges, or policymakers across multiple jurisdictions.",subfield,Social Sciences,Law,Comparative Law,10.0,5.0,65.0,10.0,10.0,40.0,0.0,60.0,5.0,5.0,60.0,30.0,0.0,2.26,0.0,0.46,1.0,3.43,6.21,4.26,yes,3.0,4.0,Edison,18.0,substep_mean
Design studies that pair doctrinal analysis of legal texts with fieldwork on how the norms operate in practice.,subfield,Social Sciences,Law,Comparative Law,20.0,5.0,55.0,10.0,10.0,60.0,5.0,35.0,15.0,10.0,45.0,30.0,0.0,2.76,0.15,0.68,1.0,4.25,6.47,4.56,yes,4.0,4.0,Pasteur,20.0,substep_mean
Coordinate with foreign legal scholars or institutions to access jurisdiction-specific legal materials and expertise.,subfield,Social Sciences,Law,Comparative Law,30.0,5.0,5.0,20.0,40.0,30.0,0.0,70.0,0.0,0.0,10.0,0.0,90.0,2.42,0.05,0.57,1.0,3.73,5.3,3.79,yes,3.0,2.0,neither,16.0,substep_mean
"Assess whether comparative legal findings generalize across common law, civil law, and hybrid legal traditions.",subfield,Social Sciences,Law,Comparative Law,30.0,20.0,35.0,10.0,5.0,90.0,0.0,10.0,20.0,5.0,65.0,0.0,10.0,2.8,0.0,0.1,1.0,3.96,7.0,4.32,yes,4.0,3.0,Bohr,20.0,substep_mean
"Analyze the relations among state, religious, and customary legal orders coexisting within one jurisdiction",subfield,Social Sciences,Law,Comparative Law,30.0,5.0,45.0,15.0,5.0,90.0,0.0,10.0,30.0,0.0,60.0,0.0,10.0,2.52,0.21,0.0,1.0,4.53,7.12,4.91,yes,4.0,3.0,Bohr,20.0,substep_mean
Compare alternative institutional or procedural mechanisms to determine which better achieves a legal objective,subfield,Social Sciences,Law,Comparative Law,25.0,15.0,45.0,15.0,0.0,90.0,0.0,10.0,20.0,5.0,60.0,10.0,5.0,2.88,0.0,0.18,1.0,3.95,7.25,4.83,yes,3.0,5.0,Edison,18.0,substep_mean
Translate and verify accuracy of foreign legal texts and terminology for comparative analysis.,subfield,Social Sciences,Law,Comparative Law,55.0,15.0,10.0,15.0,5.0,95.0,0.0,5.0,5.0,0.0,90.0,0.0,5.0,2.64,0.0,0.82,1.0,4.66,8.0,5.65,yes,3.0,3.0,neither,16.0,substep_mean
Reconcile differences in legal terminology and concepts across jurisdictions to enable meaningful comparison.,subfield,Social Sciences,Law,Comparative Law,30.0,10.0,45.0,15.0,0.0,95.0,0.0,5.0,25.0,0.0,70.0,0.0,5.0,2.65,0.0,0.22,1.0,4.53,8.01,5.43,yes,3.0,3.0,neither,18.0,substep_mean
Code judicial reasoning patterns and doctrinal approaches across different legal traditions.,subfield,Social Sciences,Law,Comparative Law,25.0,10.0,55.0,10.0,0.0,95.0,0.0,5.0,10.0,5.0,80.0,0.0,5.0,2.28,0.0,0.24,1.0,4.55,7.93,5.18,yes,4.0,3.0,Bohr,18.0,substep_mean
Categorize statutory provisions according to functional equivalence across compared legal systems.,subfield,Social Sciences,Law,Comparative Law,20.0,10.0,55.0,10.0,5.0,95.0,0.0,5.0,15.0,0.0,80.0,0.0,5.0,2.65,0.0,0.66,1.0,3.88,7.1,4.65,yes,4.0,3.0,Bohr,18.0,substep_mean
Control for differences in legal culture and institutional context when comparing legal outcomes across jurisdictions.,subfield,Social Sciences,Law,Comparative Law,25.0,10.0,55.0,10.0,0.0,90.0,0.0,10.0,20.0,20.0,55.0,0.0,5.0,2.81,0.0,0.0,1.0,3.3,6.31,3.85,yes,4.0,3.0,Bohr,20.0,substep_mean
"Apply bioethical frameworks such as autonomy, beneficence, and justice when formulating research questions about health policy or clinical practice.",subfield,Social Sciences,Law,Health Law & Bioethics,25.0,10.0,55.0,8.0,2.0,90.0,0.0,10.0,70.0,0.0,20.0,5.0,5.0,2.51,0.0,0.68,1.0,3.87,8.33,4.9,yes,3.0,4.0,Edison,18.0,substep_mean
Integrate legal doctrines and regulatory frameworks into theoretical models of health care delivery and access.,subfield,Social Sciences,Law,Health Law & Bioethics,35.0,10.0,35.0,18.0,2.0,95.0,0.0,5.0,65.0,5.0,15.0,10.0,5.0,3.22,0.0,0.0,1.0,4.63,8.44,4.82,yes,4.0,4.0,Pasteur,20.0,substep_mean
Design survey instruments to measure stakeholder attitudes toward contested bioethical issues such as informed consent or end-of-life care.,subfield,Social Sciences,Law,Health Law & Bioethics,20.0,5.0,60.0,10.0,5.0,70.0,0.0,30.0,5.0,45.0,15.0,35.0,0.0,2.18,0.13,0.4,1.0,4.3,6.74,4.36,yes,3.0,4.0,Edison,18.0,substep_mean
"Develop interview protocols to elicit perspectives from patients, clinicians, or policymakers on ethical dilemmas in health care.",subfield,Social Sciences,Law,Health Law & Bioethics,15.0,5.0,65.0,10.0,5.0,55.0,0.0,45.0,5.0,0.0,80.0,15.0,0.0,2.07,0.19,0.67,1.0,4.57,7.27,4.84,yes,3.0,4.0,Edison,18.0,substep_mean
Navigate dual IRB and HIPAA compliance requirements when conducting research involving protected health information.,subfield,Social Sciences,Law,Health Law & Bioethics,20.0,15.0,5.0,10.0,50.0,60.0,0.0,40.0,10.0,0.0,10.0,10.0,70.0,2.53,0.0,2.48,1.0,5.37,7.47,5.59,no,,,n.a.,18.0,substep_mean
Design informed consent processes that address therapeutic misconception and ensure participant comprehension of research risks.,subfield,Social Sciences,Law,Health Law & Bioethics,15.0,10.0,20.0,20.0,35.0,30.0,0.0,70.0,10.0,10.0,20.0,55.0,5.0,2.27,0.18,2.15,1.0,5.16,7.5,6.19,yes,2.0,5.0,Edison,18.0,substep_mean
"Conduct interviews with health care providers, patients, or legal professionals to gather perspectives on bioethical controversies.",subfield,Social Sciences,Law,Health Law & Bioethics,5.0,0.0,80.0,10.0,5.0,15.0,0.0,85.0,0.0,5.0,90.0,0.0,5.0,1.9,0.35,1.37,1.0,5.08,6.66,5.55,yes,3.0,4.0,Edison,16.0,substep_mean
"Coordinate with health care institutions, ethics committees, or legal organizations to access case records or recruit research participants.",subfield,Social Sciences,Law,Health Law & Bioethics,5.0,5.0,10.0,15.0,65.0,20.0,5.0,75.0,0.0,5.0,10.0,5.0,80.0,2.14,0.12,2.48,1.0,3.71,3.87,3.42,yes,2.0,4.0,Edison,16.0,substep_mean
Assess whether legal or ethical findings from one jurisdiction or health system will transfer to different regulatory environments.,subfield,Social Sciences,Law,Health Law & Bioethics,45.0,20.0,20.0,15.0,0.0,90.0,0.0,10.0,45.0,5.0,40.0,0.0,10.0,2.62,0.0,0.77,1.0,4.91,7.75,5.13,yes,3.0,5.0,Edison,20.0,substep_mean
Account for jurisdictional variation and regulatory heterogeneity when analyzing health law outcomes across states or countries.,subfield,Social Sciences,Law,Health Law & Bioethics,40.0,10.0,35.0,15.0,0.0,95.0,0.0,5.0,20.0,15.0,55.0,0.0,10.0,2.24,0.0,0.78,1.0,5.4,8.15,5.92,yes,3.0,4.0,Edison,18.0,substep_mean
Compare legal standards with professional guidelines or stakeholder understandings to identify normative divergence.,subfield,Social Sciences,Law,Health Law & Bioethics,35.0,25.0,30.0,10.0,0.0,90.0,0.0,10.0,40.0,5.0,45.0,0.0,10.0,2.67,0.0,0.62,1.0,4.61,8.25,5.1,yes,3.0,4.0,Edison,20.0,substep_mean
"Compile and analyze court decisions, statutes, and regulatory guidance relevant to health law research questions.",subfield,Social Sciences,Law,Health Law & Bioethics,45.0,10.0,30.0,15.0,0.0,95.0,0.0,5.0,15.0,0.0,80.0,0.0,5.0,2.45,0.0,0.97,1.0,5.07,8.36,5.62,yes,2.0,5.0,Edison,16.0,substep_mean
Extract data from medical records or claims databases while maintaining compliance with privacy regulations.,subfield,Social Sciences,Law,Health Law & Bioethics,5.0,0.0,80.0,5.0,10.0,85.0,0.0,15.0,0.0,75.0,5.0,15.0,5.0,2.09,0.0,2.77,1.0,5.95,7.42,5.73,yes,3.0,4.0,Edison,14.0,substep_mean
"Apply thematic analysis to qualitative data from ethics consultations, institutional review processes, or stakeholder interviews.",subfield,Social Sciences,Law,Health Law & Bioethics,10.0,5.0,60.0,20.0,5.0,75.0,0.0,25.0,5.0,5.0,85.0,0.0,5.0,2.18,0.0,0.28,1.0,3.59,8.01,4.29,yes,3.0,4.0,Edison,18.0,substep_mean
Evaluate the transferability of immigration law research across different visa categories and migrant populations.,subfield,Social Sciences,Law,Immigration Law,30.0,45.0,10.0,10.0,5.0,85.0,0.0,15.0,25.0,10.0,45.0,0.0,20.0,2.63,0.0,0.76,1.0,4.62,8.11,5.52,yes,2.0,5.0,Edison,20.0,substep_mean
Synthesize secondary empirical evidence to evaluate the effects and unintended consequences of immigration policies on affected groups.,subfield,Social Sciences,Law,Immigration Law,55.0,20.0,15.0,10.0,0.0,90.0,0.0,10.0,5.0,35.0,45.0,0.0,15.0,2.29,0.0,0.16,1.0,5.36,8.52,6.25,yes,3.0,5.0,Edison,18.0,substep_mean
"Analyze immigration statutes, regulations, and case law to frame research questions about legal doctrine and policy.",subfield,Social Sciences,Law,Immigration Law,55.0,10.0,25.0,10.0,0.0,95.0,0.0,5.0,55.0,0.0,40.0,0.0,5.0,2.35,0.0,0.16,1.0,5.19,8.79,5.98,yes,3.0,4.0,Edison,20.0,substep_mean
Engage with theories of migration governance and border control when developing legal research frameworks.,subfield,Social Sciences,Law,Immigration Law,45.0,10.0,25.0,15.0,5.0,95.0,0.0,5.0,70.0,0.0,20.0,5.0,5.0,3.21,0.0,0.0,1.0,3.09,8.73,3.78,yes,4.0,3.0,Bohr,20.0,substep_mean
"Design survey instruments to measure immigrant experiences with legal processes, such as asylum procedures or visa applications.",subfield,Social Sciences,Law,Immigration Law,15.0,5.0,60.0,10.0,10.0,70.0,0.0,30.0,5.0,40.0,30.0,25.0,0.0,2.27,0.14,0.71,1.0,3.85,6.01,4.22,yes,3.0,5.0,Edison,18.0,substep_mean
"Develop interview protocols for collecting narratives from immigrants, asylum seekers, or immigration attorneys about legal encounters.",subfield,Social Sciences,Law,Immigration Law,15.0,0.0,65.0,10.0,10.0,30.0,0.0,70.0,5.0,0.0,80.0,15.0,0.0,2.24,0.13,0.95,1.0,3.42,6.83,4.31,yes,3.0,4.0,Edison,18.0,substep_mean
Design focus group protocols to explore community perspectives on immigration enforcement and legal compliance.,subfield,Social Sciences,Law,Immigration Law,10.0,5.0,65.0,15.0,5.0,30.0,0.0,70.0,5.0,0.0,70.0,25.0,0.0,2.18,0.23,1.0,1.0,3.7,6.3,4.14,yes,3.0,4.0,Edison,18.0,substep_mean
"Obtain IRB approval with enhanced protections for research involving vulnerable immigrant populations, including undocumented individuals.",subfield,Social Sciences,Law,Immigration Law,10.0,10.0,10.0,15.0,55.0,25.0,0.0,75.0,0.0,0.0,15.0,35.0,50.0,2.32,0.0,2.21,1.0,3.84,6.31,4.37,no,,,n.a.,20.0,substep_mean
Develop informed consent procedures that address language barriers and legal risks for immigrant research participants.,subfield,Social Sciences,Law,Immigration Law,15.0,10.0,20.0,15.0,40.0,45.0,5.0,50.0,5.0,0.0,20.0,65.0,10.0,2.52,0.19,1.82,1.0,4.04,6.42,4.39,yes,1.0,5.0,Edison,20.0,substep_mean
"Conduct interviews with immigration judges, attorneys, or agency officials to gather data on legal decision-making processes.",subfield,Social Sciences,Law,Immigration Law,5.0,0.0,80.0,10.0,5.0,15.0,0.0,85.0,0.0,5.0,90.0,5.0,0.0,1.53,0.25,1.22,1.0,5.05,5.93,5.28,yes,3.0,4.0,Edison,16.0,substep_mean
Observe immigration court proceedings or administrative hearings to collect primary data on legal practices.,subfield,Social Sciences,Law,Immigration Law,5.0,5.0,70.0,10.0,10.0,20.0,5.0,75.0,0.0,20.0,70.0,0.0,10.0,1.86,0.45,1.04,0.62,3.87,4.67,4.13,yes,3.0,4.0,Edison,16.0,substep_mean
"Acquire immigration court records, asylum decision data, or visa statistics from government agencies for empirical analysis.",subfield,Social Sciences,Law,Immigration Law,70.0,0.0,15.0,5.0,10.0,95.0,0.0,5.0,0.0,70.0,5.0,5.0,20.0,1.83,0.0,0.5,1.0,6.06,7.14,6.18,yes,3.0,4.0,Edison,16.0,substep_mean
"Compile datasets of immigration legislation, regulations, and judicial decisions for doctrinal or comparative analysis.",subfield,Social Sciences,Law,Immigration Law,65.0,5.0,20.0,5.0,5.0,95.0,0.0,5.0,5.0,10.0,65.0,15.0,5.0,1.51,0.0,0.18,1.0,7.1,8.71,7.53,yes,3.0,4.0,Edison,16.0,substep_mean
Coordinate with immigration legal aid organizations or advocacy groups to recruit study participants or access case files.,subfield,Social Sciences,Law,Immigration Law,5.0,0.0,15.0,15.0,65.0,20.0,0.0,80.0,0.0,5.0,15.0,0.0,80.0,2.23,0.0,1.39,1.0,2.98,3.15,2.69,yes,2.0,4.0,Edison,16.0,substep_mean
Partner with immigration agencies or courts to obtain data access for empirical legal research.,subfield,Social Sciences,Law,Immigration Law,5.0,0.0,10.0,15.0,70.0,20.0,0.0,80.0,0.0,5.0,5.0,0.0,90.0,2.43,0.0,1.75,1.0,3.96,4.03,3.45,yes,2.0,4.0,Edison,16.0,substep_mean
Assess whether legal findings apply across different national immigration systems and regulatory contexts.,subfield,Social Sciences,Law,Immigration Law,35.0,20.0,30.0,15.0,0.0,95.0,0.0,5.0,30.0,5.0,60.0,0.0,5.0,2.78,0.0,0.75,1.0,4.02,7.49,4.46,yes,3.0,4.0,Edison,20.0,substep_mean
"Code and organize legal texts, including statutes, regulations, and court opinions, for systematic legal analysis.",subfield,Social Sciences,Law,Immigration Law,30.0,5.0,55.0,5.0,5.0,95.0,0.0,5.0,5.0,10.0,80.0,5.0,0.0,1.88,0.0,0.24,1.0,5.55,8.46,6.38,yes,3.0,4.0,Edison,16.0,substep_mean
Clean and standardize immigration case data to account for inconsistencies in administrative record-keeping.,subfield,Social Sciences,Law,Immigration Law,10.0,5.0,75.0,5.0,5.0,95.0,0.0,5.0,0.0,80.0,10.0,10.0,0.0,1.91,0.0,0.0,1.0,7.57,9.27,8.11,yes,2.0,4.0,Edison,16.0,substep_mean
"Code qualitative data from immigrant interviews to identify themes related to legal status, rights, and access to justice.",subfield,Social Sciences,Law,Immigration Law,5.0,0.0,80.0,10.0,5.0,70.0,0.0,30.0,5.0,5.0,85.0,0.0,5.0,1.98,0.0,0.46,1.0,4.96,8.03,6.09,yes,3.0,4.0,Edison,16.0,substep_mean
"Analyze legal briefs, judicial opinions, or policy documents using qualitative coding methods.",subfield,Social Sciences,Law,Immigration Law,15.0,5.0,65.0,10.0,5.0,95.0,0.0,5.0,5.0,5.0,85.0,0.0,5.0,2.67,0.0,0.0,1.0,4.16,8.27,4.43,yes,3.0,4.0,Edison,18.0,substep_mean
Address selection bias in immigration case outcome studies arising from differential access to legal representation.,subfield,Social Sciences,Law,Immigration Law,15.0,5.0,60.0,15.0,5.0,90.0,0.0,10.0,10.0,75.0,5.0,5.0,5.0,2.68,0.0,0.26,1.0,4.75,7.53,5.33,yes,3.0,4.0,Edison,20.0,substep_mean
Control for confounding factors when analyzing the effects of immigration policies on migrant outcomes.,subfield,Social Sciences,Law,Immigration Law,5.0,0.0,90.0,5.0,0.0,95.0,0.0,5.0,5.0,90.0,0.0,0.0,5.0,2.16,0.0,0.0,1.0,6.73,8.51,6.54,yes,3.0,5.0,Edison,20.0,substep_mean
Analyze media coverage and public discourse to identify how migrants and legal categories are framed.,subfield,Social Sciences,Law,Immigration Law,15.0,5.0,55.0,20.0,5.0,90.0,0.0,10.0,5.0,10.0,80.0,0.0,5.0,2.07,0.0,0.0,1.0,4.68,8.81,5.82,yes,4.0,3.0,Bohr,16.0,substep_mean
Situate studies of digital preservation within archival theory and records lifecycle models for long-term stewardship of materials.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",45.0,5.0,25.0,25.0,0.0,95.0,0.0,5.0,65.0,5.0,20.0,5.0,5.0,2.51,0.0,0.0,1.0,3.69,8.48,4.45,yes,4.0,4.0,Pasteur,18.0,substep_mean
"Evaluate how shifts in publishing, funding, or technology limit the generalizability of collection use and access patterns.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",35.0,30.0,20.0,15.0,0.0,95.0,5.0,0.0,20.0,35.0,30.0,0.0,15.0,1.88,0.0,0.0,1.0,5.73,7.94,6.1,yes,3.0,4.0,Edison,18.0,substep_mean
Draw on information behavior theories such as sense-making or information foraging to frame studies of how users seek and use information.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",25.0,5.0,45.0,20.0,5.0,55.0,5.0,40.0,20.0,25.0,40.0,5.0,10.0,2.27,0.0,0.0,1.0,4.17,8.02,4.31,yes,4.0,2.0,Bohr,18.0,substep_mean
"Ground research questions in knowledge organization principles when evaluating classification schemes, thesauri, or metadata standards.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",35.0,40.0,15.0,8.0,2.0,95.0,0.0,5.0,45.0,10.0,35.0,10.0,0.0,2.63,0.0,0.0,1.0,4.26,8.62,4.85,yes,3.0,4.0,Edison,18.0,substep_mean
Apply information literacy and critical pedagogy frameworks to examine how patrons develop research and source-evaluation skills.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",35.0,5.0,35.0,20.0,5.0,55.0,0.0,45.0,25.0,10.0,55.0,10.0,0.0,2.43,0.24,0.15,1.0,3.33,6.36,3.48,yes,3.0,4.0,Edison,18.0,substep_mean
Frame research questions around equity of access and the digital divide across diverse patron populations.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",30.0,5.0,45.0,15.0,5.0,60.0,5.0,35.0,35.0,10.0,40.0,5.0,10.0,2.16,0.14,0.13,1.0,3.85,7.38,4.59,yes,3.0,5.0,Edison,18.0,substep_mean
"Design surveys and interview protocols to capture patrons' information needs, service satisfaction, and information-seeking behavior.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,5.0,65.0,15.0,5.0,50.0,0.0,50.0,5.0,30.0,35.0,30.0,0.0,2.07,0.14,0.47,1.0,5.07,7.24,5.2,yes,2.0,5.0,Edison,16.0,substep_mean
"Develop metadata schemas, controlled vocabularies, and classification frameworks to describe and organize collections.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",15.0,5.0,55.0,15.0,10.0,90.0,5.0,5.0,15.0,5.0,15.0,60.0,5.0,2.16,0.04,0.49,1.0,4.79,8.04,5.09,yes,1.0,5.0,Edison,18.0,substep_mean
"Plan usability studies and user experience evaluations of catalogs, discovery layers, and digital library interfaces.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,15.0,55.0,10.0,10.0,45.0,5.0,50.0,5.0,30.0,35.0,25.0,5.0,1.91,0.2,0.45,1.0,4.87,7.02,4.71,yes,1.0,5.0,Edison,16.0,substep_mean
"Navigate privacy, copyright, and consent requirements when providing access to sensitive records or patron data.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",20.0,35.0,5.0,15.0,25.0,70.0,5.0,25.0,5.0,0.0,15.0,10.0,70.0,2.02,0.07,2.48,1.0,6.03,8.33,7.12,no,,,n.a.,16.0,substep_mean
"Partner with community organizations, memory institutions, or academic units to co-design collections and services.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",15.0,5.0,40.0,15.0,25.0,30.0,10.0,60.0,5.0,5.0,30.0,50.0,10.0,2.18,0.95,0.49,1.0,2.9,3.13,2.96,yes,1.0,5.0,Edison,18.0,substep_mean
Select and classify comparison institutions using explicit criteria or external typologies to structure cross-institutional studies.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",25.0,15.0,50.0,10.0,0.0,90.0,0.0,10.0,10.0,30.0,40.0,10.0,10.0,1.81,0.0,0.0,1.0,6.42,8.78,6.45,yes,2.0,4.0,Edison,16.0,substep_mean
"Compile circulation, reference, and electronic-resource usage statistics to document collection use and service demand.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,5.0,60.0,20.0,5.0,90.0,0.0,10.0,0.0,85.0,5.0,0.0,10.0,1.49,0.0,0.0,1.0,8.27,9.16,8.41,no,,,n.a.,14.0,substep_mean
"Assemble document and metadata corpora from archives, institutional repositories, or special collections for analysis.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",30.0,5.0,55.0,5.0,5.0,90.0,5.0,5.0,0.0,30.0,10.0,55.0,5.0,1.72,0.0,0.29,1.0,6.74,8.46,7.23,yes,2.0,4.0,Edison,16.0,substep_mean
Conduct observational and ethnographic fieldwork on how patrons navigate physical and virtual library spaces.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5.0,0.0,80.0,10.0,5.0,15.0,15.0,70.0,0.0,5.0,90.0,5.0,0.0,2.09,0.16,0.25,0.87,3.67,6.45,4.34,yes,3.0,4.0,Edison,16.0,substep_mean
Compile and analyze institutional funding and service data to assess the adequacy of library support.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",20.0,15.0,45.0,15.0,5.0,90.0,0.0,10.0,0.0,75.0,10.0,0.0,15.0,1.73,0.0,0.0,1.0,6.74,8.73,6.81,yes,1.0,5.0,Edison,16.0,substep_mean
Document practitioners' own professional practice through reflective narratives or journals used as research data.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5.0,0.0,70.0,20.0,5.0,60.0,0.0,40.0,0.0,0.0,90.0,0.0,10.0,2.41,0.0,0.32,1.0,3.39,7.18,3.67,yes,2.0,4.0,Edison,16.0,substep_mean
"Assess metadata quality and interoperability across catalogs, repositories, and archival finding aids.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,45.0,30.0,10.0,5.0,95.0,0.0,5.0,5.0,45.0,30.0,15.0,5.0,1.68,0.0,0.0,1.0,7.49,9.21,7.52,yes,2.0,5.0,Edison,16.0,substep_mean
Develop collection development policies and licensing agreements that balance budget constraints against user needs.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",15.0,10.0,40.0,15.0,20.0,70.0,5.0,25.0,5.0,20.0,25.0,40.0,10.0,1.86,0.09,0.49,1.0,5.21,6.93,5.46,no,,,n.a.,18.0,substep_mean
"Assess whether findings from a single library or archive transfer to institutions of different size, mission, or user community.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",25.0,45.0,15.0,10.0,5.0,70.0,5.0,25.0,10.0,30.0,45.0,5.0,10.0,2.08,0.0,0.0,1.0,4.58,7.53,5.02,yes,2.0,5.0,Edison,18.0,substep_mean
Reconstruct the historical development of institutions or research traditions through analysis of primary documents.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",35.0,5.0,35.0,20.0,5.0,90.0,5.0,5.0,5.0,0.0,90.0,0.0,5.0,2.54,0.64,0.16,1.0,4.23,6.96,4.73,yes,5.0,2.0,Bohr,18.0,substep_mean
Examine instruction or service delivery practice using purpose-collected data to evaluate its effectiveness.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,25.0,40.0,20.0,5.0,55.0,5.0,40.0,0.0,45.0,30.0,15.0,10.0,1.95,0.0,0.3,1.0,4.99,7.82,5.17,yes,1.0,5.0,Edison,18.0,substep_mean
"Code interview and open-ended survey responses to identify themes in information needs, access barriers, and library experiences.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,0.0,75.0,15.0,0.0,90.0,0.0,10.0,0.0,5.0,90.0,0.0,5.0,1.95,0.0,0.0,1.0,4.15,8.91,4.99,yes,3.0,4.0,Edison,16.0,substep_mean
"Analyze usage and circulation data to inform collection development, weeding, and resource-allocation decisions.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",10.0,10.0,60.0,15.0,5.0,90.0,5.0,5.0,0.0,85.0,5.0,5.0,5.0,1.73,0.0,0.33,1.0,7.14,8.29,7.15,yes,1.0,5.0,Edison,16.0,substep_mean
Code documents into predefined categories to characterize the composition and trends of a corpus.,field,Social Sciences,Library & Information Science,,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,0.0,35.0,55.0,5.0,5.0,1.92,0.0,0.0,1.0,7.03,9.26,7.53,yes,3.0,3.0,neither,14.0,substep_mean
"Corroborate qualitative interpretations against independent input, such as participant feedback or a second analyst, to confirm their trustworthiness.",subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5.0,55.0,25.0,10.0,5.0,60.0,0.0,40.0,0.0,0.0,90.0,0.0,10.0,1.8,0.0,0.0,1.0,4.54,7.41,4.93,yes,2.0,4.0,Edison,16.0,substep_mean
Apply structured qualitative analysis approaches such as narrative inquiry or phenomenography to build integrated accounts of participants' experience.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5.0,0.0,70.0,20.0,5.0,55.0,0.0,45.0,5.0,0.0,90.0,0.0,5.0,2.36,0.0,0.05,1.0,2.9,6.81,3.92,yes,3.0,3.0,neither,18.0,substep_mean
Construct conceptual typologies and models that define and organize the core constructs of a phenomenon.,subfield,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",25.0,5.0,55.0,15.0,0.0,95.0,0.0,5.0,70.0,5.0,20.0,5.0,0.0,2.57,0.0,0.0,1.0,3.84,8.45,5.02,yes,4.0,2.0,Bohr,20.0,substep_mean
