task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
Quantify structural and morphological features from image data using image-analysis methods to characterize samples,domain,Physical Sciences,Environmental Science,Sustainability Science,3,65,3,Supplemental
"Compare candidate materials, designs, or technologies against defined technical and application criteria to assess relative suitability",domain,Physical Sciences,Environmental Science,Sustainability Science,4,95,3,Core
Compute statistical and spectral descriptors from measured or simulated signals to characterize system behavior,domain,Physical Sciences,Environmental Science,Sustainability Science,3,85,3,Core
Build custom apparatus and prototype hardware to enable experiments and measurements beyond commercial capability,domain,Physical Sciences,Environmental Science,Sustainability Science,2,45,2,Supplemental
"Derive predictions from physical laws, mathematical models, or first principles.",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,85,3,Core
Design experiments with controlled environmental conditions.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,95,3,Core
Calibrate instruments and characterize measurement error.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,100,4,Core
"Follow safety protocols for hazardous materials, radiation, or high-energy equipment.",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,5,100,5,Core
"Collect experimental data using detectors, sensors, or spectrometers.",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,5,100,5,Core
"Collect observational data from telescopes, satellites, or field instruments.",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,2,35,2,Supplemental
Synthesize materials or compounds for experimental study.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,75,3,Core
Apply calibration corrections and noise filtering to raw measurements.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,98,4,Core
Quantify measurement uncertainty and propagate errors through calculations.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,97,4,Core
Fit theoretical models to experimental or observational data.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,95,4,Core
Run numerical simulations of physical systems.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,75,3,Core
Maintain experimental apparatus and laboratory equipment.,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,100,4,Core
"Test materials and devices under prolonged, repeated, or stressed operating and exposure conditions to quantify performance degradation and durability",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,85,3,Core
Interpret measured spectra to determine composition and structural characteristics of samples,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,5,100,5,Core
"Prepare solid samples by crushing, sectioning, or mounting to produce standardized material for laboratory analysis or experiments",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,97,4,Core
"Compare results against independent datasets, models, or reference cases to quantify agreement and validate them",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,98,3,Core
"Vary model inputs, parameters, or forcings systematically to quantify their influence on predicted outcomes",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,85,3,Core
Quantify structural and morphological features from image data using image-analysis methods to characterize samples,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,4,95,4,Core
"Compare candidate materials, designs, or technologies against defined technical and application criteria to assess relative suitability",domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,90,3,Core
Compute statistical and spectral descriptors from measured or simulated signals to characterize system behavior,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,90,3,Core
Build custom apparatus and prototype hardware to enable experiments and measurements beyond commercial capability,domain,Physical Sciences,Materials Science,Materials Characterization & Analysis,3,70,2,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Sociology,Cultural Sociology,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Sociology,Cultural Sociology,4,98,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Sociology,Cultural Sociology,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Sociology,Cultural Sociology,5,100,5,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Sociology,Cultural Sociology,4,95,4,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Sociology,Cultural Sociology,4,95,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Sociology,Cultural Sociology,4,92,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Sociology,Cultural Sociology,4,96,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Sociology,Cultural Sociology,3,90,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Sociology,Cultural Sociology,3,85,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Sociology,Cultural Sociology,3,70,3,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Sociology,Cultural Sociology,2,40,2,Supplemental
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Sociology,Cultural Sociology,3,85,3,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Sociology,Cultural Sociology,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Sociology,Cultural Sociology,4,92,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Sociology,Cultural Sociology,4,99,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Sociology,Cultural Sociology,4,99,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Sociology,Cultural Sociology,4,95,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Sociology,Cultural Sociology,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Sociology,Cultural Sociology,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Sociology,Cultural Sociology,4,95,4,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Sociology,Cultural Sociology,4,93,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Sociology,Cultural Sociology,3,85,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Sociology,Cultural Sociology,4,95,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Sociology,Cultural Sociology,2,55,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Sociology,Cultural Sociology,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Sociology,Cultural Sociology,5,100,5,Core
"Formulate hypotheses about pest population dynamics, resistance mechanisms, or host-pest interactions.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,97,3,Core
Develop hypotheses regarding the efficacy of biological control agents against target pest species.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,90,3,Core
Design field trials with replicated plots to evaluate pest control treatments under natural conditions.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,5,95,3,Core
Establish appropriate control treatments and application rates for pesticide efficacy studies.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,95,3,Core
Design bioassays to assess insecticide toxicity and resistance levels in pest populations.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,90,3,Core
Obtain IACUC approval for vertebrate pest control studies or research involving animal subjects.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,2,45,1,Supplemental
Rear and maintain insect colonies under controlled laboratory conditions for experimental use.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,90,5,Core
Generate or acquire genomic data to characterize pest populations or detect resistance alleles.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,70,2,Core
Design and conduct standardized field surveys to document the distribution and abundance of target organisms,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,96,3,Core
Design bioassays to assess lethal and sublethal effects of pesticides on non-target beneficial organisms.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,82,2,Core
"Design behavioral assays that track insect movement, settling, or searching responses to host and habitat cues.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,78,3,Core
"Process sequencing data to identify pest species, assess genetic diversity, or detect resistance markers.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,68,2,Core
"Analyze pest mortality, population suppression, or crop damage data across treatment and control groups.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,5,100,4,Core
Apply dose-response models to determine lethal concentration or effective dose values for pesticides.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,88,3,Core
"Identify, measure, and enumerate specimens from aquatic surveys and catches to characterize species composition and population structure",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,72,3,Core
Measure insect life-history traits such as longevity and fecundity under defined experimental conditions.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,88,3,Core
"Compile annotated taxonomic checklists documenting pest species, their hosts, and distribution records.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,80,2,Core
Quantify pesticide residue concentrations in environmental and biological samples using chromatography–mass spectrometry.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,62,2,Supplemental
"Combine multiple observations or components into classifications, indices, or constructs for downstream evaluation",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,3,90,3,Core
Assign putative gene functions by annotating sequences through homology and orthology database searches.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,2,55,2,Supplemental
Manage insect rearing facilities including diet preparation and environmental controls.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,4,85,5,Core
Compare study scores or effects against external normative or reference data to interpret their practical magnitude.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,3,88,3,Core
"Design experimental tasks, stimuli, and manipulations to elicit and measure targeted psychological processes.",field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,90,3,Core
Assign participants to comparison subgroups by applying score cutoffs or normative benchmarks to assessment data.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,3,78,2,Core
"Recruit participants through community, online, or professional channels to obtain the intended study sample.",field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,95,3,Core
Quantify interrater agreement among independent raters applying standardized coding or diagnostic criteria to document reliability.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,92,3,Core
Establish the credibility of qualitative findings by returning materials to participants or obtaining external review.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,3,72,2,Core
Train research staff or raters to apply study protocols and coding schemes consistently across participants.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,95,3,Core
Conduct a priori power calculations to determine the sample size required for planned analyses.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,93,3,Core
Construct study-specific materials and procedures to capture the target phenomenon in its interactional or real-world context.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,96,3,Core
Estimate the classification accuracy of assessment measures against criterion outcomes to identify optimal cut-scores.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,3,80,2,Core
"Characterize and standardize the measures, stimuli, and classification procedures used in a study or research area before drawing substantive inferences.",field,Social Sciences,Psychology,Organizational & Industrial Psychology,4,97,3,Core
Translate and back-translate study materials to establish conceptual equivalence across language groups.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,2,55,1,Supplemental
Collect and assay biological or physiological measures to index physiological variables such as hormone levels or genotype.,field,Social Sciences,Psychology,Organizational & Industrial Psychology,2,40,2,Supplemental
Derive surface reflectance values from atmospheric radiative transfer models to correct satellite imagery.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,85,3,Core
Model spatial relationships using geostatistical interpolation techniques to estimate values at unsampled locations.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,92,3,Core
Calibrate remote sensing instruments using ground reference targets with known spectral properties.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,70,2,Core
Characterize sensor radiometric response to convert digital numbers to physical units of radiance or reflectance.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,75,2,Core
Collect ground truth data using GPS receivers and field spectrometers for image classification validation.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,90,3,Core
Acquire terrain elevation data using LiDAR sensors mounted on aircraft or ground-based platforms.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,75,2,Core
Collect aerial imagery using unmanned aircraft systems for high-resolution mapping applications.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,80,3,Core
Acquire time-series satellite data to monitor land cover change and environmental dynamics.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,97,4,Core
Construct purpose-built instruments or functions to generate quantitative environmental estimates,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,78,3,Core
Perform geometric correction of satellite imagery using ground control points to ensure spatial accuracy.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,96,3,Core
Apply atmospheric correction algorithms to remove scattering and absorption effects from satellite imagery.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,92,3,Core
Perform orthorectification of aerial and satellite imagery to remove terrain-induced geometric distortions.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,90,3,Core
Filter point cloud data to separate ground returns from vegetation and built structures.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,80,3,Core
Mosaic multiple image scenes and apply color balancing to create seamless regional datasets.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,90,3,Core
Assess classification accuracy using confusion matrices and statistical measures derived from validation samples.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,5,98,3,Core
Quantify positional accuracy of geospatial datasets by comparing against higher-accuracy reference data.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,95,3,Core
Classify land cover types by fitting spectral signatures to training data using supervised classification algorithms.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,5,98,4,Core
Retrieve biophysical parameters by inverting radiative transfer models against measured spectral reflectance.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,70,2,Core
Develop regression models relating field measurements to remotely sensed spectral variables.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,92,3,Core
Generate digital elevation models from LiDAR point clouds or stereo imagery pairs.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,93,3,Core
Perform spatial analysis operations in GIS to model environmental processes and landscape patterns.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,5,100,4,Core
Run hydrological simulations using terrain models to delineate watersheds and predict flow accumulation.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,82,3,Core
Screen candidate predictor variables for relevance and redundancy before model fitting,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,90,3,Core
Detect and delineate discrete features in imagery using segmentation and thresholding algorithms without training samples.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,90,3,Core
Combine multiple indicator layers and ancillary environmental data into a fused score or rule set to refine feature classification.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,90,3,Core
Convert measured or mapped variables into derived quantities using established relationships,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,95,4,Core
Fit geometric primitives to point cloud segments to reconstruct individual object structures.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,65,2,Supplemental
Compute spectral indices from multi-band optical measurements to characterize surface and atmospheric conditions.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,5,100,4,Core
Derive summary metrics from processed remote sensing data to serve as predictor variables in statistical models.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,95,4,Core
Delineate and label features by manual visual interpretation of imagery to produce vector layers or reference samples.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,4,97,4,Core
Recode and harmonize thematic classes across land cover products into a consistent classification scheme.,subfield,Physical Sciences,Environmental Science,Remote Sensing & GIS,3,88,3,Core
Marshal published empirical findings from the sciences as evidence for or against philosophical claims,field,Arts & Humanities,Philosophy,History of Philosophy,3,80,3,Core
"Test philosophical claims against constructed cases, such as thought experiments or counterexamples, to assess their adequacy",field,Arts & Humanities,Philosophy,History of Philosophy,4,96,4,Core
"Build or adapt a formal apparatus, such as logical languages or decision-theoretic models, to represent philosophical phenomena for analysis",field,Arts & Humanities,Philosophy,History of Philosophy,2,58,2,Supplemental
Derive and prove theorems within a formal framework to establish its properties and philosophical consequences,field,Arts & Humanities,Philosophy,History of Philosophy,2,45,2,Supplemental
Identify gaps in existing literature to formulate novel research questions.,universal,Arts & Humanities,Philosophy,Philosophy of Science,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Arts & Humanities,Philosophy,Philosophy of Science,4,97,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,98,3,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Arts & Humanities,Philosophy,Philosophy of Science,5,100,5,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Arts & Humanities,Philosophy,Philosophy of Science,3,80,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Arts & Humanities,Philosophy,Philosophy of Science,2,45,2,Supplemental
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Arts & Humanities,Philosophy,Philosophy of Science,2,30,1,Supplemental
Acquire or access primary data sources relevant to research questions.,universal,Arts & Humanities,Philosophy,Philosophy of Science,3,70,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Arts & Humanities,Philosophy,Philosophy of Science,2,45,2,Supplemental
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Arts & Humanities,Philosophy,Philosophy of Science,2,35,2,Supplemental
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Arts & Humanities,Philosophy,Philosophy of Science,2,35,2,Supplemental
Develop and validate computational models to simulate or predict phenomena.,universal,Arts & Humanities,Philosophy,Philosophy of Science,2,30,2,Supplemental
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Arts & Humanities,Philosophy,Philosophy of Science,3,65,3,Supplemental
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Arts & Humanities,Philosophy,Philosophy of Science,5,100,5,Core
Prepare grant proposals to secure funding for research projects.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,92,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Arts & Humanities,Philosophy,Philosophy of Science,4,100,3,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,99,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,96,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Arts & Humanities,Philosophy,Philosophy of Science,3,88,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,95,4,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Arts & Humanities,Philosophy,Philosophy of Science,4,94,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Arts & Humanities,Philosophy,Philosophy of Science,3,78,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Arts & Humanities,Philosophy,Philosophy of Science,4,95,3,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Arts & Humanities,Philosophy,Philosophy of Science,2,40,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Arts & Humanities,Philosophy,Philosophy of Science,4,99,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Arts & Humanities,Philosophy,Philosophy of Science,5,100,5,Core
Formulate hypotheses about cellular responses to mechanical stimuli or biomaterial interactions.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,90,3,Core
Develop hypotheses relating imaging biomarkers to disease progression or treatment outcomes.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,92,3,Core
"Design imaging experiments with appropriate controls for autofluorescence, photobleaching, and background signal.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,95,3,Core
Plan biosensor validation studies with appropriate positive and negative controls.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,85,3,Core
Obtain IACUC approval for in vivo imaging studies involving animal models.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,80,2,Core
"Prepare biological specimens through fixation, sectioning, or staining for microscopy analysis.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,95,4,Core
Culture cells on biomaterial substrates or scaffolds for imaging and mechanical testing.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,85,4,Core
"Acquire fluorescence microscopy images using confocal, widefield, or multiphoton imaging systems.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,5,100,4,Core
Capture electron microscopy images of biological ultrastructure using transmission or scanning electron microscopes.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,75,2,Core
"Collect spectroscopic data from biological samples using Raman, infrared, or fluorescence spectroscopy.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,78,3,Core
Acquire bioluminescence or chemiluminescence signals from reporter systems or labeled probes.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,75,3,Core
"Process raw microscopy images through background subtraction, deconvolution, and noise reduction.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,98,4,Core
Segment and quantify cellular features from microscopy images using image analysis software.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,5,100,4,Core
Extract quantitative measurements from spectroscopic data through baseline correction and peak analysis.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,80,3,Core
Develop computational methods and tools for analyzing genomic or imaging data,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,90,3,Core
Optimize assay or staining protocols by systematic testing to extend them to new specimens or improve performance,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,96,3,Core
Prepare formulations by combining active compounds with carrier or excipient materials at defined compositions for testing,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,70,3,Core
"Characterize physicochemical properties of drug substances and formulations, such as particle size and surface charge",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,72,3,Core
Fit mathematical models to time-resolved data to extract rate and kinetic parameters,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,82,3,Core
Deliver exogenous nucleic acids into cells or embryos using chemical or physical transfection methods.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,80,3,Core
Reconstruct images or three-dimensional structures computationally from projection series or single-molecule localizations.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,88,3,Core
Align and aggregate heterogeneous datasets into a common frame to reveal patterns,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,92,3,Core
Track segmented objects across time-lapse image frames to reconstruct their trajectories and dynamics.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,85,3,Core
"Fabricate micropatterned substrates, sensing platforms, or microfluidic devices using lithography, etching, or thin-film deposition.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,72,3,Core
Design experiments varying illumination parameters to assess photodamage in living specimens.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,80,2,Core
Reconstruct and quantify three-dimensional volumes from stacks of serial or sectional images,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,90,3,Core
Manually annotate images to create labeled ground-truth datasets for training automated analysis models.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,88,3,Core
Generate simulated imaging datasets with known ground truth to validate image-analysis algorithms.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,3,75,2,Core
Compare imaging-derived metrics between experimental and control groups using appropriate statistical methods.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,5,100,4,Core
Perform statistical analysis of biosensor response data across multiple experimental conditions.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,90,3,Core
"Maintain and calibrate microscopy systems including light sources, objectives, and detectors.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,95,3,Core
"Quantify image quality, resolution, and performance metrics to characterize imaging instruments or reconstruction methods.",subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,90,3,Core
Design and build custom imaging instrumentation and optical components to enable new measurement capabilities.,subfield,Life Sciences,Biomedical Sciences,Biomedical Engineering & Imaging,4,78,2,Core
Engage with behavioral or institutional theories when framing research questions.,domain,Social Sciences,Geography,Human Geography,4,95,3,Core
"Consider whether findings will generalize across populations, time periods, or contexts.",domain,Social Sciences,Geography,Human Geography,4,97,3,Core
"Design surveys or questionnaires to measure attitudes, behaviors, or experiences.",domain,Social Sciences,Geography,Human Geography,3,85,2,Core
Design interview or focus group protocols to collect qualitative data.,domain,Social Sciences,Geography,Human Geography,4,90,3,Core
Obtain IRB approval and informed consent for research with human subjects.,domain,Social Sciences,Geography,Human Geography,4,92,2,Core
"Collect primary data through surveys, interviews, or observations of people.",domain,Social Sciences,Geography,Human Geography,4,92,3,Core
"Acquire secondary data from administrative records, censuses, or public datasets.",domain,Social Sciences,Geography,Human Geography,4,98,4,Core
Clean and recode self-reported or text-based responses.,domain,Social Sciences,Geography,Human Geography,3,90,4,Core
Code qualitative data from interviews or open-ended responses.,domain,Social Sciences,Geography,Human Geography,4,88,3,Core
Address selection bias and confounding when analyzing observational data.,domain,Social Sciences,Geography,Human Geography,4,90,3,Core
Coordinate with organizations for data access or to recruit study participants.,domain,Social Sciences,Geography,Human Geography,3,88,3,Core
"Develop conceptual frameworks, typologies, or definitions by synthesizing existing theory to organize and explain a focal phenomenon",domain,Social Sciences,Geography,Human Geography,4,96,3,Core
Translate research findings into actionable recommendations or guidelines for practitioners and policymakers,domain,Social Sciences,Geography,Human Geography,4,95,3,Core
Use the researcher's own lived and embodied experience as primary data for analysis,domain,Social Sciences,Geography,Human Geography,2,60,2,Supplemental
"Analyze documentary and archival sources, such as policy texts or legislation, as primary evidence on institutional practices and contexts",domain,Social Sciences,Geography,Human Geography,4,92,3,Core
"Corroborate findings by triangulating independent data sources, methods, or informants to establish the credibility of interpretations",domain,Social Sciences,Geography,Human Geography,4,95,3,Core
Derive analytic variables or indicators from existing records and data sources to operationalize study constructs,domain,Social Sciences,Geography,Human Geography,4,95,4,Core
Design sampling and eligibility criteria to select participants or study units for data collection,domain,Social Sciences,Geography,Human Geography,4,93,3,Core
Assess the reliability and validity of measurement instruments before substantive analysis,domain,Social Sciences,Geography,Human Geography,3,85,3,Core
"Select and justify cases, sites, or jurisdictions on explicit criteria to structure comparison",domain,Social Sciences,Geography,Human Geography,4,94,3,Core
"Reconstruct the historical development of institutions, practices, or ideas from documentary and archival sources to explain their present form",domain,Social Sciences,Geography,Human Geography,3,82,2,Core
Design and deliver instructional or behavioral intervention protocols to serve as the treatment under study,domain,Social Sciences,Geography,Human Geography,2,45,2,Supplemental
Combine multiple indicators into composite indices to measure latent constructs and compare units,domain,Social Sciences,Geography,Human Geography,3,80,2,Core
Validate constructed measures by comparing them against independent data sources or reference values to establish their reliability,domain,Social Sciences,Geography,Human Geography,3,88,3,Core
"Evaluate programs, policies, or rules against their stated objectives using empirical evidence on how they operate in practice",domain,Social Sciences,Geography,Human Geography,4,90,3,Core
Formulate hypotheses about gene regulatory networks based on computational analysis of expression data.,subfield,Life Sciences,Biology,Bioinformatics & Computational Biology,4,92,3,Core
